seed num_of_speakers n_pairs eer_ignorant eer_lazy-informed
0 10 100 0.3 0.1111111111111111
0 20 400 0.3 0.09736842105263158
0 30 900 0.32068965517241377 0.167816091954023
0 40 1600 0.3474358974358974 0.14423076923076922
0 50 2500  0.3240816326530612 0.13306122448979593
0 60 3600 0.3129943502824859 0.17627118644067796
0 70 4900 0.31635610766045547 0.19461697722567287
0 80 6400 0.3212025316455696 0.1759493670886076
0 90 8100 0.3072409488139825 0.18127340823970037
0 100 10000 0.29858585858585857 0.15767676767676767
0 110 12100 0.2835696413678065 0.12952460383653044
0 120 14400 0.2949579831932773 0.19873949579831932
0 130 16900 0.28861061419200956 0.15778175313059034
0 140 19600 0.29075025693730727 0.1947070914696814
0 150 22500 0.288993288590604 0.1858165548098434
0 160 25600 0.2867138364779874 0.16796383647798743
0 170 28900 0.2830838844413505 0.19049773755656108
0 180 32400 0.274487895716946 0.16710117939168218
0 190 36100 0.27404622667780565 0.18468393205235312
0 200 40000 0.2738190954773869 0.1800502512562814
0 210 44100 0.2729323308270677 0.17664616085668716
0 220 48400 0.27088003320880033 0.19194686591946866
0 230 52900 0.27277387507119805 0.17265995823049174
0 240 57600 0.27370990237099024 0.15409693165969315
0 250 62500 0.27755823293172693 0.1519839357429719

200 10 100 0.3333333333333333  0.03333333333333333
200 20 400 0.24473684210526317 0.12894736842105264
200 30 900 0.2827586206896552 0.1724137931034483
200 40 1600 0.2692307692307692 0.09038461538461538
200 50 2500 0.23551020408163265 0.12979591836734694
200 60 3600 0.23531073446327683 0.20282485875706216
200 70 4900 0.23271221532091096 0.12153209109730849
200 80 6400 0.23196202531645568 0.1610759493670886
200 90 8100 0.2410736579275905 0.16317103620474407
200 100 10000 0.2511111111111111 0.20282828282828283
200 110 12100 0.2517931609674729 0.16422018348623854
200 120 14400 0.2730392156862745 0.15861344537815125
200 130 16900 0.2661896243291592 0.17626714370900418
200 140 19600 0.27862281603288797 0.18504624871531347
200 150 22500 0.26926174496644295 0.17136465324384786
200 160 25600 0.2648191823899371 0.1949685534591195
200 170 28900 0.2637312913331013 0.15729202923773059
200 180 32400 0.2594351334574798 0.14425822470515207
200 190 36100 0.25811751601225286 0.16123642439431912
200 200 40000 0.26590452261306535 0.16
200 210 44100 0.2729323308270677 0.17664616085668716
200 220 48400 0.2668327106683271
200 230 52900 0.25471805581925194 0.15769887981773306
200 240 57600 0.2565899581589958 0.16295143212951432
200 250 62500 0.25657831325301206 0.1648995983935743

1000 10 100 0.2222222222222222 0.2222222222222222
1000 20 400 0.2578947368421053 0.15789473684210525
1000 30 900 0.2367816091954023 0.09885057471264368
1000 40 1600 0.20576923076923076 0.14423076923076922
1000 50 2500 0.2612244897959184 0.12571428571428572
1000 60
1000 70 4900 0.2645962732919255 0.1455486542443064
1000 80 6400 0.25158227848101267 0.14066455696202532
1000 90 8100 0.2418227215980025 0.16004993757802746
1000 100 10000 0.26292929292929296 0.16555555555555557
1000 110 12100 0.27522935779816515 0.1395329441201001
1000 120 14400 0.2777310924369748 0.14068627450980392
1000 130 16900 0.2868217054263566 0.1794871794871795
1000 140 19600 0.2738951695786228 0.18006166495375128
1000 150 22500 0.2792393736017897 0.1701565995525727
1000 160 25600  0.28443396226415096 0.17342767295597483
1000 170
1000 180 32400 0.2738361266294227 0.1632526381129733
1000 190 36100 0.27062099693678643 0.14881648565859093
1000 200 40000 0.27891959798994975 0.15896984924623114
1000 210 44100 0.2743449532923217 0.1687628161312372
1000 220 48400 0.2772934827729348 0.16926110419261103
1000 230
1000 240 57600 0.2714958158995816 0.15292887029288704
1000 250 62500 0.2716305220883534 0.17106827309236947
1000 251 63001 0.2714422310756972 0.16670916334661354

2000 10 100 0.2777777777777778 0.16666666666666666
2000 20 400 0.26052631578947366 0.08947368421052632
2000 30 900 0.2908045977011494 0.15172413793103448
2000 40 1600 0.28397435897435896 0.12564102564102564
2000 50 2500 0.25510204081632654 0.23959183673469386
2000 60 3600 
2000 70 4900 0.2629399585921325 0.15279503105590062
2000 80 6400 0.26234177215189874 0.16977848101265822
2000 90 8100 0.25617977528089886 0.14831460674157304
2000 100 10000 0.24818181818181817 0.18696969696969698
2000 110 12100 0.2517931609674729 0.17531276063386156
2000 120 14400 0.2730392156862745 0.1657563025210084
2000 130 16900 0.2661896243291592 0.18616577221228384
2000 140 19600 0.2786742034943474 0.18057553956834532
2000 150 22500 0.26930648769574944 0.16187919463087247
2000 160 25600 0.2647798742138365 0.16336477987421383
2000 170 28900 0.26376609815523844 0.14678036895231467
2000 180 32400 0.2594661700806952 0.15890751086281812
2000 190 36100 0.25811751601225286 0.17031467557783347
2000 200 40000
2000 210 44100 0.2694691273638642 0.16912736386420596
2000 220 48400 0.26685346616853467 0.1751764217517642
2000 230 52900 0.2547560280994874 0.18526675526865388
2000 240 57600 0.2565550906555091 0.1450139470013947
2000 250 62500 0.2565301204819277 0.163855421686747
