file num_of_speakers unique_pairs x n_pairs thresholds eer comput_time
342 50 2500 2500 317650 -4.271270112666778 0.16653061224489796 265.04727721214294 
342 50 2500 2500 333750 -3.639974189386556 0.12326530612244897 272.7073566913605 
342 50 2500 2500 321200 -4.257591837901846 0.18408163265306127 268.862820148468 

342 100 10000 10000 1246800 -3.403349923355305 0.13454545454545455 536.6696541309357 
342 100 10000 10000 1299200 -3.998314900745679 0.14479797979797981 544.0578479766846 
342 100 10000 10000 1212300 -3.6382025043195054 0.16414141414141414 503.7876009941101 

69 250 62500 62500 7627250 -3.785166604195438 0.1690281124497992 1639.8404624462128 
69 250 62500 62500 7951250 -4.000565700314296 0.17547791164658638 1649.045090675354 
69 250 62500 62500 7843750 -3.8947321288902437 0.15934939759036146 1641.4596509933472 

69 500 250000 250000 31276000 -3.496458611672791 0.14972945891783568 4298.8624086380005 
69 500 250000 250000 31955000 -3.63253294859819 0.1557935871743487 4256.783984422684 
69 500 250000 250000 31304500 -3.8191722877343546 0.16006412825651306 4377.3397564888 

69 750 562500 562500 71349750 -3.816768346587883 0.15990565198041834 8144.4886021614075 
69 750 562500 562500 70932750 -3.775688820129329 0.15865509568313305 8080.650042295456 
69 750 562500 562500 70472250 -3.7805805883585073 0.15886337338673784 7942.539751052856 

69 1000 1000000 1000000 126305000 -3.648597328663315 0.1512007007007007 13046.754351615906 
69 1000 1000000 1000000 125654000 -3.671853738293201 0.15404654654654656 12805.763800859451 
69 1000 1000000 1000000 126267000 -3.7569068712088427 0.15719169169169173 12987.735847234726 
