file thresh eer comput_time
1711723187 -0.2819258582452369 0.021020408163265315 48.68684101104736
1711723187 -0.5115303560619122 0.023061224489795928 48.59469962120056
1711723187 -0.7055152052900701 0.02693877551020409 49.584434032440186
1711723187 -0.4371147836613352 0.023061224489795928 48.81921577453613
1711723187 0.16869747718950748 0.016326530612244906 49.51911163330078

1712601316 0.46279289033005855 0.002653061224489796 49.94131326675415
1712601316 0.9611397908870026 0.0006122448979591836 49.054296255111694
1712601316 0.40772666776497657 0.0010204081632653062 47.014442443847656
1712601316 0.145327850182274 0.0016326530612244899 48.36313986778259
1712601316 0.3932394790193007 0.0022448979591836735 47.90182685852051

1712601353 -0.4461602226692105 0.019591836734693887 50.537108421325684
1712601353 0.39265808862261226 0.0022448979591836735 50.47906804084778
1712601353 -0.2577115846806373 0.01734693877551021 50.306334495544434
1712601353 -0.7010430171230905 0.022448979591836744 49.76661515235901
1712601353 0.03228155256450691 0.015510204081632662 50.077346324920654

1712601399 0.6650336439800719 0.002857142857142857 49.2325336933136
1712601399 -0.3187466638374565 0.02000000000000001 49.30899477005005
1712601399 0.7417754257846246 0.0016326530612244899 50.585206508636475
1712601399 -0.2899027203125979 0.01857142857142858 50.97504448890686
1712601399 -0.26764800158580443 0.019795918367346947 50.05015277862549

1712601399 -0.4770395648950631 0.019795918367346947 49.74954390525818
1712601399 -0.010575800095289196 0.015102040816326538 49.7044677734375
1712601399 0.7652224364769029 0.0010204081632653062 50.28140354156494
1712601399 0.5481032580066073 0.0016326530612244899 50.02298283576965
1712601399 -0.12761620619412611 0.015714285714285722 50.07653617858887

1712601441 -0.47718960641307606 0.019795918367346947 48.93272924423218
1712601441 -0.010762328843020441 0.015102040816326538 48.86681604385376
1712601441 0.765297611576778 0.0010204081632653062 48.60198974609375
1712601441 0.5480252487038684 0.0016326530612244899 49.468955755233765
1712601441 -0.12772360488173604 0.015714285714285722 48.99236440658569

