file thresh eer comput_time
1712099106 -3.4786097544836525 0.0740816326530612 44.57825446128845
1712099106 -4.170658549021751 0.1010204081632653 43.431437492370605
1712099106 -4.176876586385643 0.0846938775510204 44.018099546432495
1712099106 -4.086683808228692 0.10163265306122449 45.379724740982056
1712099106 -3.8033760831960537 0.0793877551020408 44.1437623500824

1712099157 -3.6091166269774853 0.09510204081632652 45.53907084465027
1712099157 -3.815062315440275 0.08734693877551018 44.5271532535553
1712099157 -3.2020847794925746 0.0648979591836735 44.93006205558777
1712099157 -3.6403069079149124 0.0840816326530612 41.672595739364624
1712099157 -2.960190842693212 0.060000000000000026 41.61535048484802

1712189769 -4.302761143396501 0.12122448979591836 47.96867632865906
1712189769 -4.046017630400923 0.1226530612244898 49.182706356048584
1712189769 -3.895878549661643 0.10224489795918366 49.366798639297485
1712189769 -4.011286973317755 0.12061224489795919 50.03594756126404

1712611492 -2.9964514902595444 0.0759183673469388 48.055408239364624
1712611492 -3.3081818246288446 0.07857142857142854 47.41842603683472
1712611492 -2.99808738641299 0.07040816326530615 45.97637057304382
1712611492 -3.4938087479010482 0.07040816326530615 46.18367910385132

1712189783 -4.093472951104783 0.12020408163265306 47.2019522190094
1712189783 -4.20067568645361 0.12142857142857143 44.09695315361023
1712189783 -3.70852944864747 0.1020408163265306 44.334447145462036
1712189783 -3.8426724880800145 0.11346938775510204 46.38441014289856
