seed file num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

83 1712189783 10 100 -38.53980064556505 0.10555555555555554 -6.989629151474974 0.32222222222222224
83 1712189783 10 100 -68.77320890076028 0.37777777777777777 -3.321534557621229 0.1111111111111111
83 1712189783 10 100 -52.543523027779436 0.27222222222222225 -0.818699257001219 0.0611111111111111
83 1712189783 10 100 -66.14037752558812 0.36111111111111116 -4.860783265842178 0.21111111111111108
83 1712189783 10 100 -45.870240966520605 0.1111111111111111 -2.4615389652010307 0.09999999999999999

83 1712189783 20 400 -52.60206864346441 0.23815789473684212 -2.5238916051349674 0.10131578947368419
83 1712189783 20 400 -52.25995968340923 0.2618421052631579 -3.0461145510444205 0.14210526315789473
83 1712189783 20 400 -67.51413378193173 0.2618421052631579 -4.722308486050595 0.19210526315789472
83 1712189783 20 400 -62.182207489215024 0.3328947368421053 -3.997896135833461 0.20526315789473681
83 1712189783 20 400 -52.087462224523584 0.3394736842105263 -2.1791959857031324 0.11842105263157895

83 1712189783 30 900 -60.07809177236305 0.29367816091954024 -2.6742307752068144 0.07011494252873562
83 1712189783 30 900 -51.284934179782105 0.2350574712643678 -3.0092522727672932 0.10057471264367815
83 1712189783 30 900 -51.46641495281762 0.19770114942528733 -3.644273371199503 0.14482758620689654
83 1712189783 30 900 -57.961942802649055 0.2660919540229885 -2.5548230980319313 0.0982758620689655
83 1712189783 30 900 -55.133735179560254 0.3103448275862069 -2.553425065653136 0.1350574712643678

83 1712189783 40 1600 -60.14501690290143 0.28044871794871795 -3.1161357218006644 0.12948717948717947
83 1712189783 40 1600 -56.29016129263965 0.3060897435897436 -2.604192346930873 0.12435897435897436
83 1712189783 40 1600 -62.716700403691334 0.29423076923076924 -3.7121974748618034 0.14455128205128207
83 1712189783 40 1600 -55.97846883352065 0.27692307692307694 -3.5804311446411314 0.15961538461538463
83 1712189783 40 1600 -57.894265093455594 0.27403846153846156 -3.1478751761312127 0.16153846153846158

83 1712189783 50 2500 -54.29680547982255 0.24448979591836734 -4.321579710513673 0.17571428571428574
83 1712189783 50 2500 -57.789943340318054 0.27693877551020407 -3.416480472334373 0.13755102040816328
83 1712189783 50 2500 -60.34877190835314 0.31938775510204076 -3.8808809855022344 0.17775510204081635
83 1712189783 50 2500 -55.9958249949057 0.2671428571428571 -2.772933425534133 0.09530612244897958
83 1712189783 50 2500 -53.48493205387862 0.24326530612244895 -2.9582465356778136 0.12836734693877552

83 1712189783 100 10000 -61.17189170978223 0.30287878787878786 -2.8056403108786028 0.11959595959595959
83 1712189783 100 10000 -60.456803687779285 0.2823232323232323 -3.586848873757036 0.15560606060606064
83 1712189783 100 10000 -63.36194534599882 0.3003030303030303 -3.767088479394442 0.1398989898989899
83 1712189783 100 10000 -60.249171692304145 0.2842424242424243 -3.2387044398853075 0.12378787878787878
83 1712189783 100 10000 -57.56005121479557 0.26015151515151513 -3.5593974910652606 0.14131313131313133

83 1712189783 150 22500 -58.011597195107434 0.2696644295302013 -3.948855334117582 0.18082774049217004
83 1712189783 150 22500 -57.369782974072436 0.2656599552572707 -3.7463353392816288 0.15183445190156597
83 1712189783 150 22500 -62.48428921586834 0.2559731543624161 -3.6564965712005444 0.13288590604026845
83 1712189783 150 22500 -61.40959625693141 0.29259507829977627 -3.635871274862189 0.1478076062639821
83 1712189783 150 22500 -59.42512909785916 0.2732885906040268 -3.1949720544806866 0.12729306487695752

83 1712189783 200 40000 -60.796021719427834 0.2761557788944724 -3.6076470042324686 0.15569095477386935
83 1712189783 200 40000 -57.5105684805797 0.25591708542713565 -3.470559961113691 0.15030150753768845
83 1712189783 200 40000 -59.7094855643597 0.2996105527638191 -3.6539845649935554 0.15959798994974878
83 1712189783 200 40000 -57.96678572015779 0.2701884422110553 -3.6833904382950977 0.15540201005025128
83 1712189783 200 40000 -58.73514404855586 0.2590326633165829 -3.699922285672009 0.15113065326633168

83 1712189783 250 62500 -59.13597312185906 0.26872289156626505 -3.509297185117368 0.1449397590361446
83 1712189783 250 62500 -59.63794587206374 0.28036947791164657 -3.4259178769315652 0.14083534136546186
83 1712189783 250 62500 -60.29306878553265 0.26351807228915664 -3.5176364061965057 0.13949397590361445
83 1712189783 250 62500 -58.78071398193479 0.28359839357429717 -3.535315674495046 0.16344578313253014
83 1712189783 250 62500 -59.522040100402876 0.28040160642570283 -3.238763413666238 0.12771084337349398

83 1712189783 300 90000 -60.7391464322673 0.2830769230769231 -3.7828036700450784 0.16381828316610925
83 1712189783 300 90000 -56.67604310751808 0.2593255295429209 -3.3771842775569323 0.13911928651059086
83 1712189783 300 90000 -60.40134990449613 0.2831047937569677 -3.427278159977485 0.14828316610925305
83 1712189783 300 90000 -58.52220525457858 0.25821627647714607 -3.4586270043942466 0.1399052396878484
83 1712189783 300 90000 -61.03525176927856 0.2825139353400223 -3.5482533508032463 0.1430602006688963

83 1712189783 350 122500 -58.86104549361225 0.26870650839132215 -3.732018219763265 0.15563651248465
83 1712189783 350 122500 -59.24715411761795 0.2942488743348342 -3.3690656581255616 0.14249693000409336
83 1712189783 350 122500 -61.6730371642978 0.26510028653295126 -3.8150190005843583 0.14611133851821528
83 1712189783 350 122500 -60.021905066681406 0.26340974212034385 -3.4038982823610398 0.13126483831354893
