seed file num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

53 1712601353 50 2500 -70.60751712111085 0.3553061224489796 0.48521163676224216 0.03612244897959186
53 1712601353 50 2500 -82.48083489653976 0.4579591836734694 0.06396168525073215 0.03510204081632655
53 1712601353 50 2500 -81.57651315728819 0.42306122448979594 0.357476776066359 0.03224489795918369
53 1712601353 50 2500 -62.51610901279445 0.31551020408163266 -0.42410303021638096 0.06979591836734692
53 1712601353 50 2500 -69.878054929635 0.4175510204081633 -0.1573613683904671 0.04142857142857145

53 1712601353 100 10000 -76.2566800236892 0.4070707070707071 -0.4489984982313168 0.0481818181818182
53 1712601353 100 10000 -67.45437715813598 0.38181818181818183 -0.5932554017401738 0.06116161616161619
53 1712601353 100 10000 -80.15037519438972 0.4281818181818182 -0.2683775511465865 0.048535353535353556
53 1712601353 100 10000 -75.7360354772186 0.40585858585858586 -0.1930586983706542 0.0387878787878788
53 1712601353 100 10000 -73.41368683467131 0.4167676767676768 -0.7241331595452936 0.07005050505050503

53 1712601353 150 22500 -77.24683374096105 0.42642058165548097 -0.07215541698012407 0.038993288590604046
53 1712601353 150 22500 -75.50229955385247 0.41178970917225954 -0.34628726115707364 0.04666666666666665
53 1712601353 150 22500 -76.02629564438743 0.3941387024608501 -0.2930144961510499 0.04668903803131989
53 1712601353 150 22500 -71.43140255205732 0.38796420581655483 -0.07600385825744549 0.03975391498881434
53 1712601353 150 22500 -68.89205991704146 0.3807829977628635 -0.16512215939237754 0.048322147651006696

53 1712601353 200 40000 -75.60829257753126 0.3952889447236181 -0.18174624320616922 0.05255025125628143
53 1712601353 200 40000 -75.51879948791748 0.3796356783919598 -0.5072916990674772 0.04930904522613068
53 1712601353 200 40000 -75.57456708925491 0.40993718592964823 -0.12659553562146952 0.039849246231155794
53 1712601353 200 40000 -74.50804147030148 0.40265075376884424 -0.3990951288412741 0.05016331658291459
53 1712601353 200 40000 -73.33826358019031 0.3805904522613065 -0.4674365648544667 0.05983668341708545

53 1712601353 250 62500 -76.41530826442116 0.4030522088353414 -0.2897429395588347 0.05143775100401608
53 1712601353 250 62500 -76.12265752346535 0.42035341365461854 -0.3846618502333553 0.05537349397590364
53 1712601353 250 62500 -75.02632735962081 0.3957831325301205 -0.35729505162126257 0.05216064257028115
53 1712601353 250 62500 -74.7444170680627 0.4158714859437751 -0.11682260371456635 0.04170281124497994
53 1712601353 250 62500 -71.93721718108927 0.3872048192771085 -0.2974511337115616 0.047903614457831346

53 1712601353 300 90000 -75.84666908006298 0.4223913043478261 -0.387359271733737 0.05395763656633222
53 1712601353 300 90000 -71.18978423341602 0.41401895206243033 -0.40838142197957805 0.06185061315496101
53 1712601353 300 90000 -74.76600337516666 0.40020624303233 -0.17473538669954503 0.04048494983277594
53 1712601353 300 90000 -71.9398959945245 0.3940635451505017 -0.5376759511988758 0.06251393534002231
53 1712601353 300 90000 -72.97534729852774 0.3994871794871795 -0.3102605767318597 0.04996655518394651

53 1712601353 350 122500 -76.09060104557109 0.4203110929185428 -0.34633089356159735 0.05361031518624641
53 1712601353 350 122500 -71.99594406245757 0.39081457224723704 -0.4675163973581318 0.054068767908309445
53 1712601353 350 122500 -77.67177287227828 0.41447400736799017 -0.2793945664103122 0.04920589439214082
53 1712601353 350 122500 -74.80548589327371 0.39493655341792877 -0.3441403228956092 0.05196070405239457
53 1712601353 350 122500 -73.2594763492476 0.39319279574293897 -0.2348968335875704 0.04632009823986901

53 1712601353 400 160000 -76.82995926294481 0.41793233082706766 -0.4668883008371139 0.05782894736842105
53 1712601353 400 160000 -70.7819121921013 0.3921679197994987 -0.44536091837470165 0.057963659147869676
53 1712601353 400 160000 -74.56346574735844 0.404874686716792 -0.41994876009603427 0.055140977443609046
53 1712601353 400 160000 -73.23997999736685 0.3999749373433584 -0.35217818618434077 0.05104323308270679
53 1712601353 400 160000 -76.45345486786981 0.41648182957393487 -0.2747848023263776 0.04703320802005012

53 1712601353 450 202500 -74.63422578225592 0.40693640188072255 -0.4438588085676916 0.05359069537243257
53 1712601353 450 202500 -74.19460616414949 0.39831972284088096 -0.41789548250408326 0.05527592180153429
53 1712601353 450 202500 -74.20284055941538 0.3996733481811433 -0.37948816440460187 0.05287057658995299
53 1712601353 450 202500 -75.54662227244664 0.40374907201187826 -0.4271028713346495 0.05207869339272457
53 1712601353 450 202500 -76.02045878150534 0.41327146745854987 -0.3194273135421179 0.046800296956198945

53 1712601353 500 250000 -75.43246792235428 0.3998496993987976 -0.26392025655018203 0.045969939879759544
53 1712601353 500 250000 -74.12275028008699 0.4184549098196393 -0.43359398842681623 0.0583607214428858
53 1712601353 500 250000 -74.57692534710932 0.4019178356713427 -0.31657724395734665 0.04879158316633268
53 1712601353 500 250000 -75.07999278637409 0.3993486973947896 -0.31972901032899026 0.05015831663326656
53 1712601353 500 250000 -74.620379258158 0.4037915831663327 -0.2644519381434539 0.05021042084168339

