seed seed_eval num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

47 200 25 625 -80.49383829395586 0.44666666666666666 -1.230054350478439 0.09499999999999997
47 200 25 625 -74.36077518635183 0.38 0.1519743540846461 0.01
47 200 25 625 -86.07802346860683 0.5183333333333333 -0.4447905054459418 0.040833333333333346
47 200 25 625 -80.50910732203123 0.47916666666666663 -0.17061179925498463 0.04333333333333335
47 200 25 625 -73.62259902214672 0.4558333333333333 0.1593604925029928 0.03166666666666668
47 200 25 625 -63.32584199714041 0.4025 -0.763499862547034 0.07249999999999998
47 200 25 625 -80.83246786006178 0.3916666666666667 -0.8078181664794476 0.041666666666666685
47 200 25 625 -63.424516576881324 0.3916666666666667 -0.04474307543470786 0.03833333333333335
47 200 25 625 -79.70969227280392 0.5116666666666667 1.0296903064305525 0.023333333333333352
47 200 25 625 -82.59772495041598 0.5433333333333333 0.4539567759473836 0.032500000000000015

47 200 50 2500 -83.41722983510662 0.4377551020408163 -0.010069231116070417 0.03551020408163267
47 200 50 2500 -86.22356618505147 0.47714285714285715 -0.3820896876214814 0.04081632653061226
47 200 50 2500 -71.09790083490947 0.4614285714285714 -0.39708379724067017 0.05755102040816329
47 200 50 2500 -79.6745022069162 0.45530612244897956 0.13943457421760555 0.020204081632653068
47 200 50 2500 -69.98716840605796 0.39591836734693875 -0.502141284924848 0.05877551020408166
47 200 50 2500 -73.70076735063391 0.43551020408163266 -0.642556006981124 0.06448979591836737
47 200 50 2500 -70.0403725204466 0.43163265306122445 -0.00602812689644073 0.0406122448979592
47 200 50 2500 -75.33097323821099 0.4157142857142857 -0.6230827795323423 0.05530612244897962
47 200 50 2500 -74.92512774053598 0.42163265306122455 -0.37244152109967693 0.054897959183673496
47 200 50 2500 -75.48790960592646 0.4810204081632653 -0.38635028926051146 0.05877551020408166

47 200 75 5625 -77.78731514328398 0.4417117117117117 -0.29059970414632197 0.04090090090090092
47 200 75 5625 -73.51261920462845 0.4011711711711712 -0.2611987384909283 0.042792792792792814
47 200 75 5625 -71.71845824975622 0.4404504504504504 -0.12775377762428033 0.04936936936936938
47 200 75 5625 -74.5095192690815 0.4394594594594594 -0.21977887741413954 0.0536936936936937
47 200 75 5625 -75.1616256691362 0.4507207207207207 -0.24332957672059458 0.05171171171171172
47 200 75 5625 -73.87640298741546 0.409009009009009 0.3351378546786297 0.030360360360360376
47 200 75 5625 -73.86943983052917 0.3861261261261261 -0.6398897785655235 0.06576576576576576
47 200 75 5625 -71.60370631353307 0.4020720720720721 -0.32593135181973265 0.056756756756756746
47 200 75 5625 -77.69085347961419 0.42657657657657655 -0.46459522523069857 0.052792792792792795
47 200 75 5625 -74.38005235880078 0.4493693693693694 -0.39718795478485425 0.051171171171171176

47 200 100 10000 -76.44961447205208 0.41424242424242425 -0.1095158781295427 0.03843434343434345
47 200 100 10000 -75.14079768507031 0.42878787878787883 -0.13933734301324557 0.04090909090909092
47 200 100 10000 -71.03071227648726 0.3802020202020202 -0.320977706937084 0.05181818181818184
47 200 100 10000 -74.32578691233887 0.40035353535353535 -0.4622569830892827 0.06045454545454548
47 200 100 10000 -74.48136462346794 0.4310606060606061 -0.3853813206245299 0.04732323232323235
47 200 100 10000 -80.59996333939057 0.46126262626262626 -0.3085379646209999 0.05080808080808083
47 200 100 10000 -71.08695692113801 0.40893939393939394 -0.09303290819381957 0.04035353535353537
47 200 100 10000 -76.8439334650636 0.4387373737373737 -0.3901824087020265 0.060000000000000026
47 200 100 10000 -76.16270816592592 0.427979797979798 0.021260842118189283 0.030303030303030318
47 200 100 10000 -75.60503352242351 0.4180303030303031 -0.6696007673371602 0.0621717171717172

47 200 125 15625 -77.41876387287287 0.43854838709677413 0.14578908329486442 0.0328709677419355
47 200 125 15625 -76.17696855745295 0.43158064516129035 -0.12611818269359507 0.033290322580645175
47 200 125 15625 -78.52424884426102 0.4483870967741935 -0.20353960447746877 0.04680645161290325
47 200 125 15625 -76.39755808948202 0.43300000000000005 -0.10960601998181964 0.038709677419354854
47 200 125 15625 -74.86922032418593 0.41719354838709677 -0.07577836540197869 0.04000000000000002
47 200 125 15625 -79.1866228463604 0.4412258064516129 0.37494829018516956 0.02238709677419356
47 200 125 15625 -73.28927045426421 0.399741935483871 -0.35779305648502174 0.04729032258064518
47 200 125 15625 -76.28891840388953 0.3970967741935484 0.11768158392926939 0.024806451612903235
47 200 125 15625 -74.18021943970608 0.4072258064516129 -0.3155310191245802 0.053870967741935505
47 200 125 15625 -78.24411593466282 0.43329032258064515 -0.08866019096152725 0.03893548387096776

47 200 150 22500 -70.86429806137582 0.4116778523489933 -0.2860520934037997 0.04718120805369126
47 200 150 22500 -71.94561023906766 0.3944519015659955 -0.36867705211897484 0.051744966442953025
47 200 150 22500 -71.31836761673934 0.38917225950782997 -0.18559663547595015 0.040156599552572725
47 200 150 22500 -75.82878217787393 0.4350335570469799 -0.45424018018299006 0.056868008948545865
47 200 150 22500 -77.75817737957281 0.4451006711409396 -0.24015743013693797 0.04105145413870248
47 200 150 22500 -77.69164525078959 0.42131991051454143 -0.11560346472591558 0.03420581655480984
47 200 150 22500 -72.70235408915923 0.4257270693512304 -0.22804748471187777 0.046398210290827725
47 200 150 22500 -74.6810489049763 0.4196420581655481 -0.4823260259379277 0.059888143176733806
47 200 150 22500 -76.05042414235231 0.408165548098434 -0.19385856538595206 0.04666666666666665
47 200 150 22500 -76.39062899428463 0.4361968680089485 0.0367243047181175 0.036308724832214784

47 200 175 30625 -72.24914417633337 0.4109688013136289 -0.33986830795091694 0.05147783251231525
47 200 175 30625 -74.83043413217452 0.41758620689655174 -0.43043617803955386 0.05351395730706073
47 200 175 30625 -76.49922917899859 0.42149425287356324 -0.009575130486924583 0.035205254515599325
47 200 175 30625 -76.16650472561736 0.4107224958949097 -0.2070122441855512 0.045484400656814444
47 200 175 30625 -73.37645692082162 0.42311986863711 -0.20943397606907171 0.044466338259441705
47 200 175 30625 -73.76692496029581 0.4240229885057471 -0.31226010754634 0.051346469622331664
47 200 175 30625 -78.28723921472292 0.43448275862068964 -0.40466752387926264 0.05123152709359603
47 200 175 30625 -74.50205268369112 0.42042692939244664 -0.41038262897040007 0.053858784893267626
47 200 175 30625 -75.39525996520943 0.42320197044334973 -0.33552938516696756 0.05133004926108372
47 200 175 30625 -77.49357432536729 0.427832512315271 -0.022292406883823702 0.034384236453201954

47 200 200 40000 -76.80269956425323 0.4348994974874372 -0.24893990214475437 0.04609296482412062
47 200 200 40000 -75.9356144849365 0.42954773869346735 -0.30661498972260814 0.04945979899497489
47 200 200 40000 -76.2886649454425 0.43481155778894476 -0.29206629772826426 0.05020100502512565
47 200 200 40000 -76.48482387422447 0.424070351758794 -0.18174253324878328 0.042613065326633184
47 200 200 40000 -77.55761302724581 0.42481155778894475 -0.3498125620755113 0.048819095477386956
47 200 200 40000 -77.48211554552219 0.4256658291457287 -0.2531827158563978 0.04526381909547741
47 200 200 40000 -76.88883771921762 0.42493718592964824 -0.1292916861879967 0.03718592964824122
47 200 200 40000 -73.75335586240381 0.4195100502512563 -0.3868032105314095 0.05581658291457289
47 200 200 40000 -73.96844449183128 0.4108417085427136 -0.1913785930467021 0.04419597989949751
47 200 200 40000 -75.2525881458427 0.428605527638191 -0.4060332921289698 0.056055276381909575

47 200 225 50625 -75.43416871285987 0.4210218253968254 -0.3272397675267097 0.049543650793650786
47 200 225 50625 -76.17858269854457 0.433859126984127 -0.25658437041982834 0.048164682539682535
47 200 225 50625 -75.42770857800915 0.41883928571428575 -0.13585667647317726 0.04040674603174605
47 200 225 50625 -76.47577630104998 0.4303670634920635 -0.19357115892059257 0.04292658730158728
47 200 225 50625 -75.75350098820715 0.42649801587301583 -0.32068632819833204 0.048918650793650785
47 200 225 50625 -76.3639945137988 0.4262797619047619 -0.33665455385976223 0.05041666666666666
47 200 225 50625 -74.3011529162549 0.41764880952380956 -0.36248304043203317 0.053680555555555565
47 200 225 50625 -75.77960044266416 0.4309325396825397 -0.25547314051921904 0.047847222222222215
47 200 225 50625 -75.50186942559739 0.4173015873015873 -0.2316528500573601 0.04707341269841269
47 200 225 50625 -75.97569882030307 0.4320436507936508 -0.30055775445750116 0.048958333333333326

47 200 250 62500 -75.55203095299811 0.4246666666666667 -0.20180693323910037 0.046136546184738975
47 200 250 62500 -75.46952020258142 0.426995983935743 -0.26130431164044166 0.04760642570281126
47 200 250 62500 -75.97313005860215 0.4291485943775101 -0.22184104380721578 0.046738955823293196
47 200 250 62500 -76.56764556004495 0.43087550200803215 -0.1932359812607779 0.045590361445783156
47 200 250 62500 -75.7116593962217 0.4245863453815261 -0.2040226631906002 0.04606425702811247
47 200 250 62500 -76.45649294549287 0.4291004016064257 -0.2005982118649406 0.04562248995983938
47 200 250 62500 -75.75044188269283 0.4247871485943775 -0.1999497814073415 0.04590361445783135
