seed seed_eval num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

75 2000 25 625 -65.64919544148329 0.39416666666666667 -1.1329130659588016 0.10416666666666664
75 2000 25 625 -70.17990627016562 0.43666666666666665 -0.5669488185208122 0.03833333333333335
75 2000 25 625 -73.60983329019564 0.3883333333333333 -0.03498742598293347 0.033333333333333354
75 2000 25 625 -82.05013961664618 0.4375 -1.3563847871127168 0.09916666666666665
75 2000 25 625 -70.33608734032195 0.3983333333333333 0.6653117520936046 0.023333333333333352
75 2000 25 625 -67.26905730556594 0.39583333333333337 -0.23153840244685642 0.04333333333333335
75 2000 25 625 -80.71860407243508 0.5025 0.6503066456790271 0.027500000000000017
75 2000 25 625 -65.47943784353741 0.3975 -0.6780349885564136 0.07416666666666664
75 2000 25 625 -69.20650114246344 0.35833333333333334 -0.0516116266464443 0.04000000000000002
75 2000 25 625 -75.9265162041612 0.3983333333333333 0.6501826042422149 0.004166666666666667

75 2000 50 2500 -72.763032773444 0.41836734693877553 -0.04767452882697134 0.04081632653061226
75 2000 50 2500 -76.01443979909985 0.4191836734693878 -0.1543843711081865 0.0442857142857143
75 2000 50 2500 -78.29362723506652 0.4238775510204082 -0.1040878456406705 0.043877551020408176
75 2000 50 2500 -74.13403265149793 0.43612244897959185 -0.47388937701004125 0.06102040816326533
75 2000 50 2500 -70.56671451464295 0.4108163265306123 -0.08573440134207223 0.04000000000000002
75 2000 50 2500 -72.05213166087135 0.37795918367346937 -0.3972886948819824 0.04408163265306124
75 2000 50 2500 -79.14626989919806 0.4636734693877551 -0.0023266512029080817 0.04183673469387757
75 2000 50 2500 -70.5586191002592 0.4320408163265306 -0.6200661520113946 0.05897959183673472
75 2000 50 2500 -70.55761553701339 0.3836734693877551 -0.9729765569164615 0.08693877551020407
75 2000 50 2500 -71.97711088603451 0.39938775510204083 0.30881981863315044 0.03306122448979594

75 2000 75 5625 -69.89094977866209 0.3970270270270271 0.13836077855423784 0.027927927927927903
75 2000 75 5625 -76.77928586276568 0.41396396396396395 -0.6348698433287898 0.062252252252252255
75 2000 75 5625 -74.36073750022467 0.436036036036036 0.011833921632776852 0.037657657657657675
75 2000 75 5625 -73.05690678752548 0.3836936936936937 0.2868980372706321 0.02486486486486484
75 2000 75 5625 -72.79827253560342 0.38729729729729734 -0.7818095338285608 0.0681981981981982
75 2000 75 5625 -82.81528986899663 0.44378378378378375 -0.18418307190984146 0.04036036036036038
75 2000 75 5625 -75.2635736712736 0.41558558558558556 0.10488987101176188 0.04234234234234235
75 2000 75 5625 -74.53695826087299 0.4418018018018018 0.06848895806868358 0.03297297297297299
75 2000 75 5625 -67.79256718734236 0.43819819819819816 -0.10951903715877394 0.04369369369369371
75 2000 75 5625 -72.07439344077497 0.41324324324324324 -0.09428120208674849 0.04189189189189191

75 2000 100 10000 -76.62194965676875 0.4317676767676768 -0.07992340693595056 0.04151515151515153
75 2000 100 10000 -78.93032687934064 0.42752525252525253 -0.22651460965301648 0.040707070707070726
75 2000 100 10000 -76.41277109252498 0.4021717171717172 -0.036910972817470654 0.031616161616161625
75 2000 100 10000 -72.73945384827182 0.41065656565656566 0.08741440237115368 0.032171717171717185
75 2000 100 10000 -75.06048767474933 0.44525252525252523 0.12095103126040253 0.030757575757575772
75 2000 100 10000 -72.87812459210932 0.422979797979798 -0.3093919426423269 0.04464646464646466
75 2000 100 10000 -69.46650431482912 0.41853535353535354 -0.1805658760911762 0.051111111111111135
75 2000 100 10000 -77.9293573239583 0.44959595959595955 -0.28606642045645797 0.05020202020202022
75 2000 100 10000 -67.99276881822087 0.38863636363636367 0.04761519849557718 0.038939393939393954
75 2000 100 10000 -75.74016757180671 0.4514141414141414 -0.6643484207344352 0.08207070707070704

75 2000 125 15625 -75.297119451214 0.4318709677419355 -0.18230234445048138 0.04858064516129035
75 2000 125 15625 -74.33357100930635 0.42216129032258065 -0.0018387590953491272 0.04280645161290325
75 2000 125 15625 -74.22292565649455 0.4281935483870968 0.07382182562183029 0.04361290322580648
75 2000 125 15625 -74.23749893471721 0.42316129032258065 0.0031644758429750326 0.04593548387096776
75 2000 125 15625 -73.4091539413871 0.43196774193548393 0.07527729899517432 0.03138709677419356
75 2000 125 15625 -73.5554771301377 0.41341935483870973 -0.15515942080713652 0.04154838709677421
75 2000 125 15625 -77.15769020645983 0.4463225806451613 -0.08776360979662136 0.04180645161290324
75 2000 125 15625 -74.517343172371 0.4259032258064516 -0.1622206733648692 0.046161290322580664
75 2000 125 15625 -78.49849048396204 0.44629032258064516 0.010320382571715707 0.036903225806451626
75 2000 125 15625 -75.02694181782675 0.4304193548387097 0.15728441555389133 0.03106451612903227

75 2000 150 22500 -72.9132766845343 0.4349440715883669 -0.04457191015188226 0.0446532438478747
75 2000 150 22500 -76.74685609644631 0.43322147651006715 -0.030076490832308473 0.0334675615212528
75 2000 150 22500 -74.6097730055778 0.4142058165548098 -0.14829725211843897 0.046621923937360164
75 2000 150 22500 -73.66563351580582 0.4137136465324385 -0.16244390223848768 0.042416107382550354
75 2000 150 22500 -74.99782223669558 0.4148769574944071 -0.08283542362088947 0.03926174496644297
75 2000 150 22500 -75.11743140359928 0.42577181208053694 -0.19265665615806973 0.04559284116331094
75 2000 150 22500 -80.7749485969636 0.44111856823266216 -0.14845100962496988 0.046689038031319914
75 2000 150 22500 -74.04029090492062 0.4208724832214765 -0.32884902725476195 0.0593736017897092
75 2000 150 22500 -77.68976577126433 0.4321476510067114 0.008105050202100568 0.034697986577181206
75 2000 150 22500 -74.21931516153057 0.4128187919463087 -0.010496814395965013 0.03923937360178972

75 2000 175 30625 -71.95486814135873 0.3938095238095238 -0.41636014989719455 0.054170771756978625
75 2000 175 30625 -75.94463405388622 0.4350574712643678 -0.004382563243171791 0.03793103448275864
75 2000 175 30625 -74.76301662225308 0.43359605911330046 0.00971736451415361 0.03855500821018064
75 2000 175 30625 -74.77220518743118 0.4111330049261084 -0.1160110308495264 0.04435139573070607
75 2000 175 30625 -74.61431399615326 0.4179638752052545 -0.28925681184129276 0.05300492610837436
75 2000 175 30625 -72.74327027167583 0.41935960591133004 -0.27497362338257203 0.047011494252873556
75 2000 175 30625 -75.53124506891109 0.429080459770115 -0.3991470554682927 0.05737274220032842
75 2000 175 30625 -75.86569028438966 0.4282266009852217 0.06715344863026046 0.03538587848932675
75 2000 175 30625 -73.18760185622915 0.41614121510673235 0.03191894642958136 0.03748768472906405
75 2000 175 30625 -76.01306011290625 0.444367816091954 0.03839057211232885 0.034761904761904744

75 2000 200 40000 -74.22194565838252 0.4157160804020101 -0.02965519967417836 0.04157035175879399
75 2000 200 40000 -74.09883976588642 0.41542713567839196 -0.29299536129305825 0.047512562814070375
75 2000 200 40000 -74.69507465259328 0.4238693467336684 -0.04333597158514697 0.04022613065326635
75 2000 200 40000 -74.53505391651375 0.4294095477386935 -0.019970045165804105 0.041783919597989966
75 2000 200 40000 -74.31078337000199 0.4145979899497487 -0.024424710439114174 0.0388065326633166
75 2000 200 40000 -74.75728641870765 0.42002512562814076 -0.06858282473574757 0.04224874371859298
75 2000 200 40000 -74.93337133373876 0.4297738693467337 -0.33179166612257266 0.05241206030150756
75 2000 200 40000 -75.96341068059812 0.41973618090452264 0.03919938177087255 0.03724874371859298
75 2000 200 40000 -73.8821350737834 0.41881909547738694 -0.03116723806631417 0.042022613065326654
75 2000 200 40000 -72.29933338715398 0.4101884422110553 -0.029540442765293454 0.045552763819095496

75 2000 225 50625 -75.95280375192284 0.42610119047619044 -0.040179402936099375 0.041845238095238074
75 2000 225 50625 -74.02210794758541 0.4171031746031746 -0.08996156222479097 0.04325396825396823
75 2000 225 50625 -74.9843651626958 0.4225198412698413 0.03151874811110025 0.04091269841269839
75 2000 225 50625 -75.44890291440869 0.42586309523809524 -0.03687738379381436 0.03974206349206351
75 2000 225 50625 -74.31301025851577 0.41759920634920633 0.030969971003401042 0.04018849206349204
75 2000 225 50625 -74.96317011638845 0.41406746031746033 -0.06667595372396025 0.04197420634920633
75 2000 225 50625 -73.85155057941368 0.42157738095238095 -0.014961510342398402 0.04123015873015871
75 2000 225 50625 -76.14449160485843 0.42703373015873014 -0.04392217786924696 0.03891865079365081
75 2000 225 50625 -76.08053912949951 0.436765873015873 -0.06359944814653846 0.042906746031746004
75 2000 225 50625 -74.7772693623549 0.4262301587301587 -0.04385269077570543 0.04022817460317462

75 2000 250 62500 -74.84743180474582 0.42002409638554217 0.03283173752914855 0.03805622489959841
75 2000 250 62500 -74.88434649360958 0.4206345381526104 -0.019752190636125756 0.03921285140562251
75 2000 250 62500 -74.80552484503116 0.42093172690763053 -0.026993289314844352 0.039261044176706845
75 2000 250 62500 -74.93980983264221 0.4233815261044177 -0.024828354915513506 0.039244979919678735
75 2000 250 62500 -74.5840876720208 0.42045783132530123 -0.035467692012231995 0.03964658634538154
75 2000 250 62500 -74.88622064555402 0.42322891566265064 -0.02139508185656653 0.0391967871485944
75 2000 250 62500 -74.56628798682875 0.419285140562249 -0.027188176828184793 0.039277108433734956
