seed file num_of_enrolls n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

64 1712099064 1 630436 630436 -59.09535964009524 0.29283148201676507 -3.747233857698575 0.22009491107645296
64 1712099064 1 630436 630436 -60.64796629703051 0.2958673341359058 -3.7852195765045735 0.22281550468361386
64 1712099064 1 630436 630436 -59.902558273127056 0.2976119763294063 -3.695032557594004 0.22312043986900493
64 1712099064 1 630436 630436 -60.79743563895806 0.3037988253642546 -3.7332177184644024 0.2239066008938413
64 1712099064 1 630436 630436 -60.71889388078819 0.2946674459454738 -3.93105463360439 0.22312679268536723

64 1712099064 2 630436 1260872 -60.43451027438704 0.28478881650207577 -3.6468126846055497 0.1878186334456723
64 1712099064 2 630436 1260872 -59.836985521298175 0.2818069633220147 -3.729031150592391 0.19675148735313086
64 1712099064 2 630436 1260872 -60.981948510460654 0.29470238643546653 -3.878790319757684 0.20296215944933788
64 1712099064 2 630436 1260872 -59.26862600454035 0.2884964789515312 -3.7927423216157763 0.20063623455868576
64 1712099064 2 630436 1260872 -59.14063758514271 0.28038869706912817 -3.761051751588923 0.20040118035328014

64 1712099064 3 630436 1891308 -59.87087244237637 0.27845029397657717 -3.489505960148525 0.17828940890220157
64 1712099064 3 630436 1891308 -61.76701630243482 0.2818538153426868 -3.631917792654955 0.1713973972511364
64 1712099064 3 630436 1891308 -59.947353801570976 0.27949215585999665 -3.600709323777702 0.175251174476925
64 1712099064 3 630436 1891308 -60.59167468298407 0.27702646900937355 -3.7694772785976056 0.18131573179679883
64 1712099064 3 630436 1891308 -60.031160302836874 0.26717722134165134 -3.673381623385088 0.17879128139482436

64 1712099064 4 630436 2521744 -60.65609382734468 0.28094536260287595 -3.5378665777564606 0.16614202991541224
64 1712099064 4 630436 2521744 -61.52000893159925 0.28319028908490856 -3.675022096560838 0.17024991979569343
64 1712099064 4 630436 2521744 -60.41619796315561 0.272187211145381 -3.773604243191329 0.17734680977444325
64 1712099064 4 630436 2521744 -59.80899186282349 0.2809374215824231 -3.7541497981517296 0.1851941261859914
64 1712099064 4 630436 2521744 -60.60787989551659 0.27989873610718474 -3.5957561318131184 0.16636199618195735

64 1712099064 5 630436 3152180 -60.08051319715305 0.26590348166100736 -3.420540547018618 0.1524858570425734
64 1712099064 5 630436 3152180 -60.029412594715225 0.27578290520645066 -3.699090472765556 0.16861724599057876
64 1712099064 5 630436 3152180 -60.649540808547 0.27523021018292937 -3.4521871054841995 0.15380247823366294
64 1712099064 5 630436 3152180 -59.89837020385441 0.2753890305919872 -3.6959657216367305 0.17395440583696767
64 1712099064 5 630436 3152180 -59.49922743416803 0.27464733928168705 -3.754180238728395 0.17983234917619853

64 1712099064 6 630436 3782616 -59.890208371620986 0.2731504569263169 -3.5693376299353567 0.15987021196171794
64 1712099064 6 630436 3782616 -59.929723427780175 0.2742931697694881 -3.506243089155968 0.15858297254630407
64 1712099064 6 630436 3782616 -59.52659759169126 0.2732481314778874 -3.7186379766457853 0.17136722137341537
64 1712099064 6 630436 3782616 -60.86770092598206 0.28066345637679824 -3.828762871955689 0.17601430654244793
64 1712099064 6 630436 3782616 -60.1621500338851 0.2697842583563358 -3.615691178526049 0.16618649962994844

64 1712099064 7 630436 4413052 -60.453847486630885 0.27311789874246 -3.543850176677649 0.1586012368933457
64 1712099064 7 630436 4413052 -59.59994548889962 0.2695134695588922 -3.580581739162377 0.16125433182665708
64 1712099064 7 630436 4413052 -60.48507455667444 0.2729964011295307 -3.419007371193889 0.15431626225696504
64 1712099064 7 630436 4413052 -60.23365658626832 0.27083009074998177 -3.6601688710276385 0.16762303022987668
64 1712099064 7 630436 4413052 -60.12373995684608 0.2644979210408454 -3.528719196408718 0.1549698082402381

64 1712099064 8 630436 5043488 -60.52883252691382 0.26649508768474783 -3.790383119872402 0.16733794759561782
64 1712099064 8 630436 5043488 -59.73446543905361 0.26816031967371934 -3.8004428890496484 0.17410449112352733
64 1712099064 8 630436 5043488 -59.815663142599476 0.2671081344637112 -3.7611066618836304 0.16878400742008948
64 1712099064 8 630436 5043488 -59.296914760202 0.2709960580774472 -3.779807253177367 0.17117028406618368
64 1712099064 8 630436 5043488 -60.33595189582901 0.26960717360023634 -3.693761927313318 0.16175064560496283

64 1712099064 9 630436 5673924 -59.994610295626444 0.2767445627832959 -3.6950212022711515 0.16759761896442743
64 1712099064 9 630436 5673924 -61.35143043878069 0.27774274905422447 -3.494494299548554 0.15068324539976682
64 1712099064 9 630436 5673924 -62.347437882941286 0.278639290263356 -3.5974245118741868 0.15410423701087286
64 1712099064 9 630436 5673924 -59.50197037548394 0.26819923067393847 -3.727149616010403 0.16747453314740757
64 1712099064 9 630436 5673924 -60.41882392655168 0.2775839286451666 -3.7475413874028995 0.1684512786631133

64 1712099064 10 630436 6304360 -62.064305173033446 0.2769383236823465 -3.6421713120589176 0.1547760473411875
64 1712099064 10 630436 6304360 -61.23558711423392 0.2705116558298208 -3.5421682573356748 0.15226906718420943
64 1712099064 10 630436 6304360 -60.89678836201703 0.2696842014986294 -3.6100416826707145 0.15031001743848094
64 1712099064 10 630436 6304360 -60.10887239126803 0.2742860228510805 -3.6391420196741593 0.16569097995368798
64 1712099064 10 630436 6304360 -60.996491309286476 0.2718767172456729 -3.782329588460925 0.1652367535837825

64 1712099064 11 630436 6934796 -60.49551329598596 0.265861394252607 -3.4700681766155 0.1457185194126186
64 1712099064 11 630436 6934796 -59.03970115087363 0.26527693514727413 -3.5796090054632983 0.15866555915901415
64 1712099064 11 630436 6934796 -60.87965364896041 0.27438925611696807 -3.5542250809331892 0.15265500077822
64 1712099064 11 630436 6934796 -60.632000441262214 0.26845493153252165 -3.6334003741373366 0.15481019372913496
64 1712099064 11 630436 6934796 -60.583778718710114 0.2770320277236906 -3.7073375293667308 0.16491752456157624

64 1712099064 12 630436 7565232 -60.979253052434245 0.2645114207756153 -3.461009012402343 0.14328459664380716
64 1712099064 12 630436 7565232 -61.23511793692094 0.27209747761426334 -3.7179235340236687 0.15744820072358578
64 1712099064 12 630436 7565232 -60.68496483406303 0.27568364245078947 -3.6851488134777903 0.16346828832892343
64 1712099064 12 630436 7565232 -59.37201958950905 0.2633949132999387 -3.669018788434452 0.15897525895667697
64 1712099064 12 630436 7565232 -60.16473215484282 0.25936405131805057 -3.489954390741294 0.14507609085797962

64 1712099064 13 630436 8195668 -59.39590069520094 0.27040762846188793 -3.697453100219185 0.16505649241950185
64 1712099064 13 630436 8195668 -60.257292960808584 0.2691743879855537 -3.7759248744240668 0.16752535567830606
64 1712099064 13 630436 8195668 -60.70367314155909 0.2746076341794226 -3.69182996577302 0.15964706928699166
64 1712099064 13 630436 8195668 -61.18260247416832 0.2746211339141925 -3.7104992163188206 0.15891570130328025
64 1712099064 13 630436 8195668 -60.50894967082458 0.26702475374895573 -3.5090168080327326 0.1516758729563784

64 1712099064 14 630436 8826104 -60.659752507506234 0.2619909408838673 -3.7669892058351757 0.15642619139129854
64 1712099064 14 630436 8826104 -59.85652249459222 0.2684882838184238 -3.6732662457823477 0.16174032227837404
64 1712099064 14 630436 8826104 -60.52425881542248 0.2620028524145467 -3.753455893513571 0.1589800235689487
64 1712099064 14 630436 8826104 -60.222102627671674 0.26926570972076197 -3.7485337025808008 0.1610446888867007
64 1712099064 14 630436 8826104 -60.9850639278881 0.2721657703901582 -3.700612626963724 0.15736720231496631

64 1712099064 15 630436 9456540 -60.723513439319895 0.27334898243763917 -3.64623351138495 0.15727588057975805
64 1712099064 15 630436 9456540 -60.1012818224743 0.26169871133120093 -3.552819387838205 0.14624580317069066
64 1712099064 15 630436 9456540 -59.71867558559473 0.26704937091235975 -3.8654734162500444 0.16779614447574973
64 1712099064 15 630436 9456540 -59.913087338949055 0.2655596354753971 -3.754756573082735 0.16449665047757295
64 1712099064 15 630436 9456540 -61.31200834729888 0.2681134676530473 -3.6290500667937824 0.14634506592635182

64 1712099064 16 630436 10086976 -60.08945022720898 0.25926399446034415 -3.6560038894151887 0.14984229133380556
64 1712099064 16 630436 10086976 -60.59610037101357 0.264565419714695 -3.6818528655372234 0.1527074115132091
64 1712099064 16 630436 10086976 -61.562355940802945 0.2749173339770854 -3.6277301449275114 0.15248268063439224
64 1712099064 16 630436 10086976 -60.957409579501686 0.2647131226951188 -3.563942229983411 0.14530876275724935
64 1712099064 16 630436 10086976 -60.629431664624605 0.2667968464619578 -3.6920977004170723 0.16120430339780384

64 1712099064 17 630436 10717412 -60.45438523094441 0.27180683626568747 -3.515344050392213 0.14632918388544602
64 1712099064 17 630436 10717412 -60.24840113722554 0.26519037802433765 -3.6478661041954195 0.1597534789610604
64 1712099064 17 630436 10717412 -60.48108418027323 0.2756923775732877 -3.703220389220231 0.15721791113045192
64 1712099064 17 630436 10717412 -59.72867511113156 0.26698187223851017 -3.501776049435126 0.152361183021463
64 1712099064 17 630436 10717412 -60.3225360556814 0.26977472913179235 -3.632847401295541 0.15534700671175047

64 1712099064 18 630436 11347848 -60.57753298845145 0.27140502063077115 -3.6555783353308393 0.15865920634265185
64 1712099064 18 630436 11347848 -60.435625127710814 0.26848431330819733 -3.619714109545397 0.1494841513113801
64 1712099064 18 630436 11347848 -60.812049220793725 0.2777522782787679 -3.657229683073985 0.15384694794819914
64 1712099064 18 630436 11347848 -61.69641769705782 0.2704322456252919 -3.5418377074194862 0.14493077018369166
64 1712099064 18 630436 11347848 -60.177224902543784 0.2693268555782492 -3.7278828719405825 0.160276792208906

64 1712099064 19 630436 11978284 -60.72996533780351 0.2630367732775133 -3.6675166926072507 0.15121291146397475
64 1712099064 19 630436 11978284 -60.46418197790653 0.2629375105218521 -3.6565859519831028 0.15346419076236975
64 1712099064 19 630436 11978284 -60.131185161499495 0.2591853783578605 -3.69786779596892 0.15229844895988515
64 1712099064 19 630436 11978284 -61.13645171791111 0.26604244951893297 -3.6405931980579957 0.1509270347276706
64 1712099064 19 630436 11978284 -60.53180288415689 0.26690643254420765 -3.620128678316435 0.15223174438808085

64 1712099064 20 630436 12608720 -59.02423574656336 0.26675952366582917 -3.5531157138909295 0.15109459025922667
64 1712099064 20 630436 12608720 -60.16068901259322 0.26445186312221863 -3.3901318903149784 0.1398890162981504
64 1712099064 20 630436 12608720 -60.626043186058304 0.26566286874128475 -3.6788685296393284 0.15685897700598117
64 1712099064 20 630436 12608720 -60.54973938413495 0.27327830735560843 -3.586107189894926 0.15134473240349278
64 1712099064 20 630436 12608720 -59.657617832860055 0.2707784741170379 -3.652615268791436 0.15767134339831207

64 1712099064 21 630436 13239156 -60.87578884516866 0.2644875977142567 -3.7164759577783735 0.1550357187099971
