seed file num_of_enrolls n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

82 1712189782 1 630436 630436 -58.90159594852844 0.2998346679541708 -3.9231739211832064 0.23772874109414557
82 1712189782 1 630436 630436 -59.250595909943854 0.30359394703656994 -3.7124200311311597 0.22296558997017352
82 1712189782 1 630436 630436 -60.36202692309212 0.2914306860088749 -3.5298273224336754 0.21151384437505755
82 1712189782 1 630436 630436 -62.050414997110124 0.3114015583458537 -3.6514948017431834 0.21528265268200025
82 1712189782 1 630436 630436 -60.39071639314966 0.295318609622611 -3.7139853357418815 0.21382150491866808

82 1712189782 2 630436 1260872 -61.49451808143931 0.2947063569456929 -3.7613103960578087 0.19174546805962753
82 1712189782 2 630436 1260872 -59.31028717583132 0.2909748714348789 -3.4879206801059013 0.1912761537508616
82 1712189782 2 630436 1260872 -59.52330508355965 0.28311246708447024 -3.521773743671872 0.18542759218730642
82 1712189782 2 630436 1260872 -59.187621284656245 0.27956600735020853 -3.6394353438798817 0.18910190235085972
82 1712189782 2 630436 1260872 -60.570616023561286 0.2945213311691406 -3.6483523041105173 0.19257054008468305

82 1712189782 3 630436 1891308 -59.99659710462296 0.2821666915485307 -3.738544308889383 0.18296349354077399
82 1712189782 3 630436 1891308 -60.397977822766165 0.2761084870450192 -3.436692440609287 0.16737606449379172
82 1712189782 3 630436 1891308 -60.37203048765673 0.28723941541383835 -3.5298928994210805 0.17481600655610652
82 1712189782 3 630436 1891308 -60.07229149853257 0.2821531918137608 -3.7792256570173017 0.18509009881805855
82 1712189782 3 630436 1891308 -58.868454517948145 0.26812458508168135 -3.685067233508562 0.17796938577795002

82 1712189782 4 630436 2521744 -61.3770723883143 0.2781739464648165 -3.615617143009871 0.16734430041198017
82 1712189782 4 630436 2521744 -60.163020743094876 0.2846728776034636 -3.591662385123385 0.17614374517583006
82 1712189782 4 630436 2521744 -61.96560615823728 0.27714717252025756 -3.5491645415894766 0.15834871244294374
82 1712189782 4 630436 2521744 -59.7122490300508 0.2730289593133876 -3.6653350459986314 0.17382893771381197
82 1712189782 4 630436 2521744 -60.412406154373514 0.2775505763592645 -3.5274816911242226 0.16515257876698186

82 1712189782 5 630436 3152180 -60.78073431568869 0.2816028790963754 -3.679093588743444 0.16873000848100983
82 1712189782 5 630436 3152180 -60.39734100200663 0.27703043951960005 -3.6558941685075523 0.1679517884766264
82 1712189782 5 630436 3152180 -59.95229431479743 0.27439957944355686 -3.527832348829429 0.1649064071329422
82 1712189782 5 630436 3152180 -60.98800327151391 0.2833101984937472 -3.7243347577179065 0.1760524234406218
82 1712189782 5 630436 3152180 -61.79685630876086 0.2786750248553941 -3.6117397871887307 0.15614825567544732

82 1712189782 6 630436 3782616 -60.592406457802156 0.27928489522617617 -3.4647110555532854 0.1563618691256301
82 1712189782 6 630436 3782616 -60.13721305319323 0.27452345936262196 -3.659443358299086 0.16394713186223284
82 1712189782 6 630436 3782616 -60.302261520689854 0.28106130150148817 -3.5977707635953116 0.16468247035617062
82 1712189782 6 630436 3782616 -61.60133566082957 0.2828472370013436 -3.705055980681815 0.1687101559298776
82 1712189782 6 630436 3782616 -62.13493540558511 0.28473322935890555 -3.6296896309874946 0.15767134339831207

82 1712189782 7 630436 4413052 -59.86456047242729 0.27261443804574664 -3.5388775598275646 0.1598995937373936
82 1712189782 7 630436 4413052 -59.995587007662785 0.2774235200320182 -3.635114409586712 0.16711956953316331
82 1712189782 7 630436 4413052 -61.025123784061144 0.2729130204147754 -3.382576089084312 0.14464727575352343
82 1712189782 7 630436 4413052 -61.168894654479054 0.2743749622801529 -3.6887159075848786 0.16544639652373885
82 1712189782 7 630436 4413052 -62.1122115905062 0.2750682133656904 -3.5883516308116605 0.15741643664177424

82 1712189782 8 630436 5043488 -60.79183171395488 0.278424882711128 -3.5466199863707857 0.15761178574491538
82 1712189782 8 630436 5043488 -60.84745539834171 0.2757304944714616 -3.5673888770308224 0.15833283040203797
82 1712189782 8 630436 5043488 -61.23975967466424 0.2768279434980513 -3.727589162579605 0.16874350821577974
82 1712189782 8 630436 5043488 -60.652905110733954 0.2731925443347172 -3.522171259460265 0.15617684334907772
82 1712189782 8 630436 5043488 -60.726361398766045 0.2771066733159478 -3.3058102197123844 0.14608698276163282

82 1712189782 9 630436 5673924 -60.85650535951662 0.27461795750601137 -3.610798979323047 0.15868620581219167
82 1712189782 9 630436 5673924 -61.48184250193545 0.27701296927460367 -3.6167596761064513 0.15568211777486254
82 1712189782 9 630436 5673924 -60.757967399151994 0.27722102401046944 -3.453837947467024 0.14970967629224227
82 1712189782 9 630436 5673924 -61.76578649003755 0.2831601132071876 -3.4493471133829416 0.14868290234768328
82 1712189782 9 630436 5673924 -60.12650395530651 0.2735244789896481 -3.4851023790265065 0.14996299484468956

82 1712189782 10 630436 6304360 -60.36612091238894 0.2733132478456012 -3.5102663055999868 0.15281620349341374
82 1712189782 10 630436 6304360 -61.107869191311806 0.2861943771222377 -3.609026511578031 0.15967803926675794
82 1712189782 10 630436 6304360 -60.14597838962906 0.2747521607516652 -3.6099608457667047 0.15854088513790376
82 1712189782 10 630436 6304360 -61.26098647524573 0.27813662366868797 -3.5504019559064317 0.15404467935747618
82 1712189782 10 630436 6304360 -60.012728019036295 0.2644709215713056 -3.4837325997499304 0.14889175118559436

82 1712189782 11 630436 6934796 -60.60319222957294 0.2714860190393906 -3.6269202541588625 0.15766419647990443
82 1712189782 11 630436 6934796 -60.564568477974895 0.2748148948132431 -3.4602042426096826 0.14504194447003216
82 1712189782 11 630436 6934796 -60.994691480923755 0.2746822797716798 -3.4753057036626327 0.14482594871371351
82 1712189782 11 630436 6934796 -60.822205595567425 0.2805586349068201 -3.5480125581856843 0.15639283910539642
82 1712189782 11 630436 6934796 -61.57164568719233 0.2749125693648137 -3.4681097770515263 0.14569866686148636

82 1712189782 12 630436 7565232 -60.99090936327557 0.26806979204055637 -3.6694889601326017 0.15899114099758274
82 1712189782 12 630436 7565232 -60.35551455202336 0.2745496647301165 -3.3794156063549585 0.14081970389522935
