seed file num_of_enroll n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

42 1712099042 1 1012036 1012036 -59.50368289663891 0.3060705419225938 -3.8891207383123856 0.23609833536096853
42 1712099042 1 1012036 1012036 -60.21587699159295 0.2936035528124784 -3.653244784488379 0.2155386091411729
42 1712099042 1 1012036 1012036 -60.49887945634589 0.3000726981395211 -3.683375391440677 0.21381511923483973
42 1712099042 1 1012036 1012036 -59.337309002620714 0.29734280881872943 -3.862181809453432 0.22669950446574286
42 1712099042 1 1012036 1012036 -60.51001431814325 0.3061521418751174 -3.6814538942894615 0.21989703569627012

42 1712099042 2 1012036 2024072 -59.899695450451645 0.2748306182803676 -3.758385167484448 0.19381571268903988
42 1712099042 2 1012036 2024072 -59.571890922443686 0.2737609170845573 -3.7144288342095706 0.1891279190528471
42 1712099042 2 1012036 2024072 -60.93323238048566 0.282363035716052 -3.905193107646255 0.19821024104131432
42 1712099042 2 1012036 2024072 -60.06367430368704 0.28479273612058986 -3.737005914381143 0.19396951623591782
42 1712099042 2 1012036 2024072 -59.09457864169474 0.2784813507017596 -3.3924819087681612 0.17871477602049393

42 1712099042 3 1012036 3036108 -60.168316421100975 0.281289872704074 -3.6015455126190923 0.17612138116574186
42 1712099042 3 1012036 3036108 -60.63540244203008 0.2825623374182764 -3.6528802725174123 0.17832260170321357
42 1712099042 3 1012036 3036108 -61.43662926973631 0.27839925620406913 -3.709596720621827 0.17513377446762213
42 1712099042 3 1012036 3036108 -61.197735187282056 0.27321345558489857 -3.6647932420275233 0.17086139877154977
42 1712099042 3 1012036 3036108 -60.15252885301292 0.27143952207155075 -3.4770712609406096 0.16531952563227598

42 1712099042 4 1012036 4048144 -60.65305912990894 0.2781959981405102 -3.5565919423796686 0.16323650138967188
42 1712099042 4 1012036 4048144 -60.96040453038296 0.2760956648170677 -3.4877184987094836 0.15775545730591573
42 1712099042 4 1012036 4048144 -61.31298198458563 0.2825049701789265 -3.4290226062070985 0.15984342700018792
42 1712099042 4 1012036 4048144 -59.99176369927568 0.27634590467147363 -3.716802585487983 0.17608132300723023
42 1712099042 4 1012036 4048144 -60.40073241558508 0.27219518708643664 -3.6838303155953156 0.17139896936787238

42 1712099042 5 1012036 5060180 -60.94464667824925 0.27901447039158084 -3.7238756174754597 0.17109086772894966
42 1712099042 5 1012036 5060180 -60.21114183572767 0.2713658348416961 -3.3755817469779457 0.1531052491024005
42 1712099042 5 1012036 5060180 -59.7244952158228 0.26593177254878686 -3.623632051280606 0.1651578093627291
42 1712099042 5 1012036 5060180 -60.76631298229777 0.2725344450708683 -3.625656019699977 0.16204909844416093
42 1712099042 5 1012036 5060180 -60.256909211704304 0.2694623304946441 -3.7376545430753594 0.16997517383262614

42 1712099042 6 1012036 6072216 -60.66944377803278 0.272097761688575 -3.5328543397199987 0.16012136138393518
42 1712099042 6 1012036 6072216 -60.84036337077913 0.2762371047347754 -3.6427140576343695 0.16344569399523257
42 1712099042 6 1012036 6072216 -60.21915701870872 0.26516671117573165 -3.617803599003461 0.1618671058227748
42 1712099042 6 1012036 6072216 -60.50956728221657 0.26715329911080776 -3.6923525919657814 0.16518946025340495
42 1712099042 6 1012036 6072216 -61.02928775906986 0.27547748335855515 -3.4133578296242795 0.15267054390077447

42 1712099042 7 1012036 7084252 -60.07476805935884 0.27038564632107853 -3.4199429331557503 0.14697733994045675
42 1712099042 7 1012036 7084252 -60.43769750958942 0.2677368624076437 -3.521723535485324 0.15494742984876808
42 1712099042 7 1012036 7084252 -60.49407774657464 0.2643116425823171 -3.5418390953021635 0.15117800658734165
42 1712099042 7 1012036 7084252 -60.26969160862893 0.27098503506325233 -3.52337862845796 0.15610862190043817
42 1712099042 7 1012036 7084252 -59.699134027211066 0.2647616786841142 -3.808021746634235 0.17119818403014747

42 1712099042 8 1012036 8096288 -60.29590775671073 0.26347388306974073 -3.4368071503404707 0.1481716665183031
42 1712099042 8 1012036 8096288 -59.770677463430914 0.2645777078820609 -3.535315767867317 0.15297172190736177
42 1712099042 8 1012036 8096288 -61.32089616543563 0.2764092064528253 -3.50630993371459 0.15402114675133283
42 1712099042 8 1012036 8096288 -60.59972327707784 0.2702249191418652 -3.867254042162955 0.16931446148976786
42 1712099042 8 1012036 8096288 -59.92534314518447 0.2753726397831914 -3.4060329922801174 0.1544716773982968

42 1712099042 9 1012036 9108324 -60.58487730035873 0.26545750373381605 -3.6790277641164773 0.15774062095091143
42 1712099042 9 1012036 9108324 -60.13696301988895 0.263457563079236 -3.601448154861828 0.15412747396219698
42 1712099042 9 1012036 9108324 -61.43188144854506 0.27140193663887324 -3.827392878425207 0.16712560458146644
42 1712099042 9 1012036 9108324 -60.179523918824806 0.2593167363975352 -3.6578798857469286 0.1586807513130174
42 1712099042 9 1012036 9108324 -60.811475096437576 0.2731115792805357 -3.6004993162801306 0.15502161162378958

42 1712099042 10 1012036 10120360 -60.449352779982085 0.27037476632740864 -3.5747672919498883 0.15815801707169913
42 1712099042 10 1012036 10120360 -60.44208391309719 0.2646093587727367 -3.7440574791180437 0.16201448028248422
42 1712099042 10 1012036 10120360 -61.03472222731907 0.27559617419858956 -3.576368182689157 0.15613087643294465
42 1712099042 10 1012036 10120360 -59.87672419510053 0.2653046892772717 -3.406280718278515 0.14410106525028932
42 1712099042 10 1012036 10120360 -60.909867181737695 0.26945886867847646 -3.63810133385781 0.15856601683431748

42 1712099042 11 1012036 11132396 -60.454439944952554 0.271384133012868 -3.5699635324652736 0.15610862190043817
42 1712099042 11 1012036 11132396 -62.07111733587439 0.2741753459343442 -3.5834049569953095 0.1502858471064162
42 1712099042 11 1012036 11132396 -59.53294435881837 0.2655015182536621 -3.6343527842450385 0.159140183772984
42 1712099042 11 1012036 11132396 -61.75196131770074 0.27125258399849655 -3.7000288222457853 0.15617142913662307
42 1712099042 11 1012036 11132396 -61.223300663115786 0.2745749384291267 -3.6390663976464506 0.1571293631247342

