seed file num_of_enroll n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

69 1712189769 1 1012036 1012036 -60.297776721016135 0.29419107247064874 -3.7457546695686688 0.2148749295273137
69 1712189769 1 1012036 1012036 -60.993905868480056 0.3101268013807701 -3.591280699564777 0.21260348357615505
69 1712189769 1 1012036 1012036 -58.792797498181926 0.29308823674866225 -3.735985478964608 0.21761767702244245
69 1712189769 1 1012036 1012036 -60.29634375992214 0.3082747297310664 -3.722605333511524 0.21978279576273702
69 1712189769 1 1012036 1012036 -60.112459905043806 0.2991508659485871 -3.667071945153907 0.21385468284818454

69 1712189769 2 1012036 2024072 -59.899833696924304 0.2873628873525019 -3.620339519027425 0.18872189747089602
69 1712189769 2 1012036 2024072 -60.33523751729058 0.2875127345380453 -3.5488742055059674 0.18776050166661723
69 1712189769 2 1012036 2024072 -59.466064229439155 0.2850904523110096 -3.6035797406585743 0.18583820460322642
69 1712189769 2 1012036 2024072 -62.261847413439966 0.29517620644293446 -3.805183677811783 0.1921011245957093
69 1712189769 2 1012036 2024072 -60.30367140752338 0.28624818254651196 -3.6098315372622665 0.18383579122281235

69 1712189769 3 1012036 3036108 -60.54586905290531 0.28040562594581764 -3.634315790470623 0.1709256896432351
69 1712189769 3 1012036 3036108 -60.48665315942594 0.28288774813803746 -3.6210178508917275 0.17582168679465493
69 1712189769 3 1012036 3036108 -61.73596307530909 0.29505059197056466 -3.4908273820309432 0.16698762647992643
69 1712189769 3 1012036 3036108 -60.391932311200286 0.28338773330168243 -3.6926751103465754 0.18338773330168245
69 1712189769 3 1012036 3036108 -60.18776680072616 0.28851122122983497 -3.6365104852397585 0.1796044627755853

69 1712189769 4 1012036 4048144 -60.40525291512583 0.2692758869667567 -3.6356117448770533 0.15996755783705724
69 1712189769 4 1012036 4048144 -61.81380485175771 0.2821919230883357 -3.537589136744657 0.1637839628893307
69 1712189769 4 1012036 4048144 -60.73335011358998 0.2769650752203199 -3.498977080949288 0.15906995835929696
69 1712189769 4 1012036 4048144 -60.499540100583744 0.2792572920684846 -3.430655359114752 0.159278161874524
69 1712189769 4 1012036 4048144 -60.965615628682684 0.2833130569814941 -3.581572120981093 0.16902861438335165

69 1712189769 5 1012036 5060180 -61.1578265202131 0.2758300940624907 -3.5422772191123615 0.15523970604235282
69 1712189769 5 1012036 5060180 -61.693809308817734 0.2811514000573672 -3.6418964288838653 0.16095615362551058
69 1712189769 5 1012036 5060180 -60.53455574788709 0.27035745724657034 -3.460076060422125 0.15305282731471864
69 1712189769 5 1012036 5060180 -61.64823859207013 0.27818956905334163 -3.704364198342728 0.1647325005192724
69 1712189769 5 1012036 5060180 -60.49057414779229 0.27437959308823673 -3.6405844299916454 0.16277756347487216

69 1712189769 6 1012036 6072216 -60.71923366671145 0.270605718920309 -3.5556252811459594 0.15615609823645196
