seed file num_of_enroll n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

42 1712099042 1 1012036 1012036 -59.626648013767976 0.30661701433191896 -3.700249619462511 0.22333956460243515
42 1712099042 1 1012036 1012036 -58.1041703827525 0.2962884385230903 -3.905443695828012 0.2322695666795248
42 1712099042 1 1012036 1012036 -60.68147431724367 0.30221754052797645 -3.7778321674664994 0.21964432311603016
42 1712099042 1 1012036 1012036 -60.291623152164675 0.298429819095378 -3.8417991554792934 0.22572673412262745
42 1712099042 1 1012036 1012036 -59.81159521411428 0.30120125021018174 -3.8032453976645684 0.2231061392837008

42 1712099042 2 1012036 2024072 -60.64772829472679 0.294890853881685 -3.7908589082464346 0.19306301494515493
42 1712099042 2 1012036 2024072 -60.84721110017324 0.2908716853110195 -3.8293762190452867 0.19893920061719236
42 1712099042 2 1012036 2024072 -59.46882169883128 0.2843337982057901 -3.655510902555534 0.18987023134822906
42 1712099042 2 1012036 2024072 -59.85993297953837 0.2822502794180193 -3.7222535133309407 0.19209568459887438
42 1712099042 2 1012036 2024072 -60.88500084096495 0.295763231555938 -3.865009098197845 0.19888133883267559

42 1712099042 3 1012036 3036108 -60.74177146060678 0.28774368713094567 -3.7676608304918395 0.18380216215146927
42 1712099042 3 1012036 3036108 -60.230070592758615 0.27860795426446294 -3.954917316117379 0.19249181527748932
42 1712099042 3 1012036 3036108 -60.495715458845474 0.28206630861596593 -3.74151092261233 0.18173446880903635
42 1712099042 3 1012036 3036108 -60.10310199549493 0.27738988951860977 -3.746984279128848 0.1794363174188699
42 1712099042 3 1012036 3036108 -60.32188662338194 0.2805213495148512 -3.832964328583406 0.1861997171201646

42 1712099042 4 1012036 4048144 -60.78944719460563 0.28129036724924084 -3.7520904301939026 0.1759477958121915
42 1712099042 4 1012036 4048144 -61.143907597491705 0.2834579587153695 -3.77427617880727 0.17604522121005312
42 1712099042 4 1012036 4048144 -60.52071942010227 0.27642058099166195 -3.6134486999381465 0.16691443379523851
42 1712099042 4 1012036 4048144 -60.16182511696087 0.27260368139422175 -3.840511107672171 0.18083983660227687
42 1712099042 4 1012036 4048144 -60.778277300606476 0.2821909339980021 -3.8047813285475627 0.17627716289328704

42 1712099042 5 1012036 5060180 -60.15466117097556 0.27720789689722364 -3.7016364005239213 0.16991632295777576
42 1712099042 5 1012036 5060180 -60.52956419953946 0.27874197600466855 -3.6320144116910114 0.16606381610832516
42 1712099042 5 1012036 5060180 -59.84918938385431 0.2753152725438414 -3.7522218312419455 0.17294442301415386
42 1712099042 5 1012036 5060180 -59.874665331111075 0.2735645826533337 -3.7526941438896073 0.17279507037377723
42 1712099042 5 1012036 5060180 -60.33328238910951 0.2767400571694213 -3.7342423061937327 0.17098800233425315

42 1712099042 6 1012036 6072216 -60.53820132884226 0.27612533752707635 -3.7605042499551096 0.1710191586797622
42 1712099042 6 1012036 6072216 -60.4976684703002 0.2762059483892664 -3.740722458995549 0.16815228034776414
42 1712099042 6 1012036 6072216 -60.057890289879914 0.2732841755437524 -3.7585630308785007 0.1690844979872012
42 1712099042 6 1012036 6072216 -60.161468706070174 0.27433755674905785 -3.6168659544955326 0.161955134862467
42 1712099042 6 1012036 6072216 -60.398833295827615 0.2782711690058653 -3.7585005878760094 0.17001572653630456

42 1712099042 7 1012036 7084252 -60.27813274654456 0.2744478403212565 -3.693844903617982 0.16410442815742365
42 1712099042 7 1012036 7084252 -60.52262928752766 0.27312888836137406 -3.7093750145556084 0.16479234048445646
42 1712099042 7 1012036 7084252 -60.851993034457095 0.2790856848956015 -3.706884019680761 0.1640490390987409
42 1712099042 7 1012036 7084252 -60.66381444943412 0.2765056427603533 -3.7162551616470085 0.16574236174989862
