seed file num_of_enroll n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

83 1712189783 1 1012036 1012036 -59.16328137794676 0.3082663224632306 -3.8452365271435838 0.2292112993679713
83 1712189783 1 1012036 1012036 -60.45443924982408 0.2992685676982879 -3.8706676130641426 0.21956222861833968
83 1712189783 1 1012036 1012036 -58.781254604936976 0.2893796425427534 -3.7788815691891386 0.21864188006290614
83 1712189783 1 1012036 1012036 -59.890984604753726 0.2963838857402846 -3.9495121137766773 0.22559765783409003
83 1712189783 1 1012036 1012036 -59.20502460076818 0.3020246679129205 -3.8033152155835523 0.2219014272573514

83 1712189783 2 1012036 2024072 -59.29729857205376 0.28363995133675557 -3.5966809900523344 0.1851295213791876
83 1712189783 2 1012036 2024072 -60.19437903412529 0.290190696616322 -3.763203516192732 0.19493091204019664
83 1712189783 2 1012036 2024072 -59.71835909174689 0.28432143457661985 -3.88960372106078 0.20102717031146455
83 1712189783 2 1012036 2024072 -59.278410538032915 0.2892654026092203 -3.593331754702092 0.18690444398286898
83 1712189783 2 1012036 2024072 -59.846563496453655 0.28452320900467837 -3.7947488677137358 0.19165158303907892

83 1712189783 3 1012036 3036108 -59.77758236314306 0.28223791578884905 -3.6813919482987862 0.17694133705231302
83 1712189783 3 1012036 3036108 -58.89253556965863 0.2779877946252831 -3.7158528609944597 0.17682511893811265
83 1712189783 3 1012036 3036108 -59.612758109412006 0.2822814357635283 -3.71725603458295 0.1801543970010781
83 1712189783 3 1012036 3036108 -59.7416040987747 0.2785308052184406 -3.615754166647927 0.17286925214879872
83 1712189783 3 1012036 3036108 -59.702405681355 0.2792028921001355 -3.644305364020321 0.17484446554503824

83 1712189783 4 1012036 4048144 -59.65172811178195 0.27747247856146706 -3.7202220764004323 0.17200478719721474
83 1712189783 4 1012036 4048144 -59.60474615320351 0.27544039247104435 -3.649737047129122 0.1688485999426328
83 1712189783 4 1012036 4048144 -59.4027097106933 0.28032699326429483 -3.5876467457389367 0.16683530656854892
83 1712189783 4 1012036 4048144 -59.34863063393351 0.2771609151063767 -3.8900822656598564 0.18368149313076762
83 1712189783 4 1012036 4048144 -59.90435709755991 0.2780080709771223 -3.7263265939986923 0.17287469214563367

83 1712189783 5 1012036 5060180 -59.18661511303769 0.2696260249448582 -3.607714420068146 0.16317072688248618
83 1712189783 5 1012036 5060180 -59.892571786761025 0.2752346616816514 -3.692236712738622 0.16707565551961862
83 1712189783 5 1012036 5060180 -59.62642226441949 0.27638101737831716 -3.6430010336265695 0.16685855019138895
83 1712189783 5 1012036 5060180 -59.91889615153266 0.2763389810391383 -3.541162607945489 0.16179984768008865
83 1712189783 5 1012036 5060180 -59.72685381252554 0.2714014420937064 -3.7219506405396716 0.168939101708159

83 1712189783 6 1012036 6072216 -59.590701067197266 0.27723015142973007 -3.61095062291281 0.16103429176186657
83 1712189783 6 1012036 6072216 -59.53505684501164 0.27484397099987146 -3.6377857143850747 0.16445011522902386
83 1712189783 6 1012036 6072216 -60.124964651155814 0.28169193792469066 -3.588567182130627 0.16017971771361877
83 1712189783 6 1012036 6072216 -60.38592108811813 0.27913909577361695 -3.6766520236676 0.1639456791588776
83 1712189783 6 1012036 6072216 -59.6839453756135 0.27719602781322017 -3.646136970937865 0.1637735774408277

83 1712189783 7 1012036 7084252 -59.76548887655296 0.27331780461509547 -3.688016645092684 0.16407475544741504
83 1712189783 7 1012036 7084252 -59.81824708852351 0.27222485979644523 -3.7425258114192275 0.16729177175751458
83 1712189783 7 1012036 7084252 -59.59761939721712 0.2731214701838719 -3.647723498370575 0.1611524880567342
83 1712189783 7 1012036 7084252 -59.50617604747889 0.27235294699464907 -3.7610974916879707 0.16899696349267582
83 1712189783 7 1012036 7084252 -59.81758592907561 0.2745338911802815 -3.661732445170888 0.1629071343085764

83 1712189783 8 1012036 8096288 -59.3616460921633 0.2726308813783963 -3.6822071447319473 0.16288092341473548
83 1712189783 8 1012036 8096288 -59.6441095476049 0.27131638032501504 -3.6472346326412577 0.16016389226828087
83 1712189783 8 1012036 8096288 -60.06846130393049 0.2770961296895246 -3.6298258312403817 0.16009564503526108
83 1712189783 8 1012036 8096288 -59.63172790682185 0.2775214385329813 -3.69164328402357 0.16427504623997313
83 1712189783 8 1012036 8096288 -59.60109933092889 0.273990880587124 -3.667389793018799 0.16119699712174712

83 1712189783 9 1012036 9108324 -60.09893789603863 0.2775436930654877 -3.7149118036821593 0.16302236333244313
83 1712189783 9 1012036 9108324 -59.93171816622609 0.27322878648506965 -3.64296364579588 0.15837808967092964
83 1712189783 9 1012036 9108324 -60.487227268189514 0.2784363470915799 -3.649516389982144 0.15858035864415498
83 1712189783 9 1012036 9108324 -59.523354401602745 0.26919923246590116 -3.5965736828921613 0.15513238974115506
83 1712189783 9 1012036 9108324 -59.720852715606725 0.271254067633997 -3.6909446397755676 0.16007981958992312

83 1712189783 10 1012036 10120360 -60.24246251420866 0.27756248578182646 -3.6398143371381364 0.1591204019663116
83 1712189783 10 1012036 10120360 -59.739442267272125 0.2743088731293829 -3.6542420239777584 0.15683313056981496
83 1712189783 10 1012036 10120360 -59.81887070202855 0.2724058633274977 -3.5762031172902766 0.15315321998358108
83 1712189783 10 1012036 10120360 -59.689202885100045 0.27425298952553334 -3.6458600127714136 0.15699336320386142
83 1712189783 10 1012036 10120360 -59.740446186656776 0.27533010889884574 -3.5900083595790306 0.155179371532002

83 1712189783 11 1012036 11132396 -59.57270317715746 0.27215562347309186 -3.7059810859202673 0.16108127355271354
83 1712189783 11 1012036 11132396 -59.91206330026558 0.27448394211843363 -3.5800068606957995 0.153041452775882
83 1712189783 11 1012036 11132396 -60.19445686094237 0.2755323778720711 -3.6389420721490793 0.15605669465792313
83 1712189783 11 1012036 11132396 -59.27310921005085 0.2664386813447672 -3.706132305100668 0.15901555839094786
83 1712189783 11 1012036 11132396 -59.8264542595063 0.27026695548104407 -3.7231716126950687 0.1612118334767514

83 1712189783 12 1012036 12144432 -59.98872740029848 0.274412727614413 -3.6246622707156937 0.1551348624669891
83 1712189783 12 1012036 12144432 -59.68489587688773 0.2721516671117573 -3.666077831221761 0.15795871536947467
83 1712189783 12 1012036 12144432 -59.7297811481366 0.2727451213119294 -3.6033636349664753 0.1531003036507324
83 1712189783 12 1012036 12144432 -59.97341920055121 0.27356309901783327 -3.74682304425761 0.16209311296400702
83 1712189783 12 1012036 12144432 -59.850371047049016 0.2735962335440096 -3.6901677872238188 0.15883950031156346

83 1712189783 13 1012036 13156468 -59.82284009145933 0.27274116495059497 -3.698818773322116 0.15889736209608024
83 1712189783 13 1012036 13156468 -60.19134536420574 0.2755867778404202 -3.6384471080474703 0.15489649169658665
83 1712189783 13 1012036 13156468 -59.87514332772942 0.27321691740106624 -3.634401889974837 0.15537966232456007
83 1712189783 13 1012036 13156468 -59.992279525933476 0.27197857630337374 -3.6696430233849573 0.15664619249676076
83 1712189783 13 1012036 13156468 -60.0965242883246 0.27746308220329763 -3.6245233396575975 0.1560057565057417

83 1712189783 14 1012036 14168504 -59.70773798672926 0.2692353342630783 -3.615545207337074 0.15209340969110707
83 1712189783 14 1012036 14168504 -60.175953381229604 0.2763187046872991 -3.597234572177196 0.15216363510479414
83 1712189783 14 1012036 14168504 -60.16606859987958 0.27416199321484025 -3.6779323758021616 0.15609230190993345
83 1712189783 14 1012036 14168504 -60.104490078331345 0.27652493002185885 -3.6656010689682312 0.15649931258221816
