seed file num_of_enrolls n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

53 1712601353 1 630436 630436 -72.22841904803079 0.40422573462380207 -0.3980985446739851 0.12485428227468943
53 1712601353 1 630436 630436 -74.75596046269595 0.4052620377929046 -0.3682788636544956 0.11683464571931351
53 1712601353 1 630436 630436 -74.91520886412434 0.4081938625441124 -0.3794913338292645 0.11324848088278736
53 1712601353 1 630436 630436 -72.92407174906339 0.40296787698406394 -0.502156480629651 0.12853812166278616
53 1712601353 1 630436 630436 -74.21023046053938 0.41282188926405805 -0.44400605969156004 0.12356545465518501

53 1712601353 2 630436 1260872 -74.1198728900269 0.39784274238376727 -0.4298544037535521 0.08693273320394762
53 1712601353 2 630436 1260872 -73.68671335167357 0.4018045174877153 -0.22674488701790096 0.07828019731847621
53 1712601353 2 630436 1260872 -74.1431300484706 0.39956038510772784 -0.25166277579910457 0.07909494601694297
53 1712601353 2 630436 1260872 -71.9498670752647 0.39076014624183264 -0.3737678500854713 0.08592263540233974
53 1712601353 2 630436 1260872 -74.42924915651167 0.39568119661649 -0.09836512470315029 0.06935290212533468

53 1712601353 3 630436 1891308 -73.22052681803257 0.4020292483665321 -0.3106847062769778 0.0729208026148192
53 1712601353 3 630436 1891308 -72.96685486571039 0.40043389735754603 -0.14337955400617375 0.06530695220458613
53 1712601353 3 630436 1891308 -72.64650281671034 0.3965356504172212 -0.23059524161116465 0.06811569113877411
53 1712601353 3 630436 1891308 -73.01855937199825 0.3926667852525721 -0.18764878097438972 0.06534745140889588
53 1712601353 3 630436 1891308 -72.59000901044185 0.3940080236070656 -0.2389383667736714 0.07052261443804575

53 1712601353 4 630436 2521744 -73.40181633129072 0.39678499845944204 -0.27301386266827876 0.06303661445710418
53 1712601353 4 630436 2521744 -74.34470292844475 0.39938488855571896 -0.3873628523268451 0.06693089088720255
53 1712601353 4 630436 2521744 -73.910064522064 0.3941549324854441 -0.22997449487135668 0.06031760905403388
53 1712601353 4 630436 2521744 -74.47882559217373 0.3941763732406669 -0.36752078224776596 0.06653622217069381
53 1712601353 4 630436 2521744 -74.49628423013513 0.41326896871555585 -0.22630134054821838 0.061998723083911196

53 1712601353 5 630436 3152180 -72.69281610334994 0.39524285228749034 -0.12353667063832745 0.05527426696440198
53 1712601353 5 630436 3152180 -73.70700982777116 0.39788721209830347 -0.1382184250514456 0.05522979724986578
53 1712601353 5 630436 3152180 -74.17492465362258 0.4022460382248961 -0.19813177341472965 0.05652974229800426
53 1712601353 5 630436 3152180 -73.6702091182824 0.3941652558120329 -0.15466647464188554 0.053728150282223885
53 1712601353 5 630436 3152180 -74.03951962596295 0.39577172424965296 -0.14081120379830736 0.05259258435746027

53 1712601353 6 630436 3782616 -74.0813582450035 0.3947012746926031 -0.12982200452463152 0.050573976958335064
53 1712601353 6 630436 3782616 -72.94350263490738 0.3967540284796758 -0.2617774004827614 0.05693473434110177
53 1712601353 6 630436 3782616 -73.43082387332669 0.3902034807080849 -0.2565144980461393 0.05866111218756054
53 1712601353 6 630436 3782616 -73.73444148508436 0.39786735954717123 -0.2736514079139738 0.05763989695731862
53 1712601353 6 630436 3782616 -73.83497278545595 0.39791024105761685 -0.32613512753895674 0.060455782809914205

53 1712601353 7 630436 4413052 -72.5343200348582 0.39798409254782874 -0.19965100897603147 0.054125201304868496
53 1712601353 7 630436 4413052 -74.19505120329995 0.3980785906912182 -0.2790264645170574 0.05520676829055239
53 1712601353 7 630436 4413052 -75.14661190704024 0.4046601084425753 -0.29854589652995855 0.055621289558193364
53 1712601353 7 630436 4413052 -74.16085136300185 0.3904186823623583 -0.21151902380776327 0.05182627588375614
53 1712601353 7 630436 4413052 -74.02138897871832 0.39660076678493494 -0.1883520847533191 0.05130534494204641

53 1712601353 8 630436 5043488 -73.76597160218614 0.3992665673509709 -0.10980032190690281 0.048876186785506676
53 1712601353 8 630436 5043488 -74.24175418897332 0.40398670990817004 -0.21235764744783125 0.05224238535548772
53 1712601353 8 630436 5043488 -73.8277068624647 0.40192045638632745 -0.2554687619327467 0.052648965602675804
53 1712601353 8 630436 5043488 -74.50168160646152 0.4002242544175897 -0.19448171009995008 0.04925576756315493
53 1712601353 8 630436 5043488 -73.24485924778894 0.39168765743073053 -0.24476899446939626 0.053757532057899585

53 1712601353 9 630436 5673924 -73.08647759815244 0.39522697024658454 -0.14430293977757933 0.0502618948545364
53 1712601353 9 630436 5673924 -73.87072560174904 0.39556525771787776 -0.2501580280404091 0.05179530590398986
53 1712601353 9 630436 5673924 -74.57799182658525 0.3995508558831844 -0.004681314196368981 0.042631368301352196
53 1712601353 9 630436 5673924 -73.40912335780365 0.3890091512319699 -0.06831065942324382 0.045099437458111104
53 1712601353 9 630436 5673924 -75.12421232185132 0.3992498912080198 -0.26731813624132883 0.051567398616991854

53 1712601353 10 630436 6304360 -74.54474631723656 0.3991291876971358 -0.10799498174026212 0.044360128453946865
53 1712601353 10 630436 6304360 -74.20335649964511 0.40232465432737974 -0.26128409730621344 0.0519025096801039
53 1712601353 10 630436 6304360 -72.8088997579032 0.39430898828223027 -0.3885053604129439 0.058152092776530176
53 1712601353 10 630436 6304360 -73.85458996577141 0.4004751906639011 -0.4261656353810963 0.05947824319216315
53 1712601353 10 630436 6304360 -73.64979747558313 0.3943431346701777 -0.2716638772146894 0.05229082558025034

53 1712601353 11 630436 6934796 -75.07366893703525 0.4072258521509048 -0.24110125701766225 0.05018645516023392
53 1712601353 11 630436 6934796 -73.909415629653 0.397872124159443 -0.27387254810234524 0.05187789251669994
53 1712601353 11 630436 6934796 -74.34435126867534 0.3970510226446139 -0.10093249360316102 0.04277510077154955
53 1712601353 11 630436 6934796 -73.56056548907466 0.3916574815530095 -0.2434130200335341 0.050989292328021296
53 1712601353 11 630436 6934796 -73.97539615773552 0.4042003233583529 -0.2319312039428496 0.050267453568853426

53 1712601353 12 630436 7565232 -74.57531528309626 0.3946663342026104 -0.0313286956127096 0.04033403108433048
53 1712601353 12 630436 7565232 -74.19116906397038 0.3929034276620683 -0.10139801260028018 0.04300936087490988
53 1712601353 12 630436 7565232 -73.3468404928124 0.398794870736069 -0.2841911005466405 0.052247149967759435
53 1712601353 12 630436 7565232 -74.90453001128853 0.4099099170639824 -0.21783784885420707 0.048857922438465026
53 1712601353 12 630436 7565232 -73.42799842449422 0.3954493188192655 -0.07320078581491885 0.043461204938679464

53 1712601353 13 630436 8195668 -73.8018777674413 0.40155596354753975 -0.29626574156138585 0.051783394373310525
53 1712601353 13 630436 8195668 -73.99033210588402 0.3928113118248147 -0.2218204558452831 0.048946067765492124
53 1712601353 13 630436 8195668 -72.66605426608143 0.38820551996213726 -0.21230702467184634 0.04936535364540484
53 1712601353 13 630436 8195668 -74.13395274661467 0.3944582794667446 -0.21542621204639545 0.04901674284752287
53 1712601353 13 630436 8195668 -74.39880945563293 0.40694315182278185 -0.24626174283342223 0.05033098173247656

53 1712601353 14 630436 8826104 -74.01311793626726 0.3905211215262006 -0.055424017723185316 0.041390980906610406
53 1712601353 14 630436 8826104 -73.5631420789429 0.3992903904123295 -0.1658268105887097 0.046084918096315056
53 1712601353 14 630436 8826104 -73.47591390818187 0.39556287541174184 -0.10273054481131437 0.043338119121659614
53 1712601353 14 630436 8826104 -74.04186489555283 0.39307177729566956 -0.022096333110019777 0.040902608148757534
53 1712601353 14 630436 8826104 -73.29422406996676 0.3992737142693784 -0.07457565611964258 0.044012311758110184

53 1712601353 15 630436 9456540 -72.55098186604978 0.3978046254855934 -0.22116349086557724 0.04923670911406798
53 1712601353 15 630436 9456540 -73.5263833697889 0.39653247400904 -0.2864514370153908 0.050403245018597886
53 1712601353 15 630436 9456540 -74.38063663625235 0.39274222494687455 -0.1863803114473664 0.04429183567805199
53 1712601353 15 630436 9456540 -73.50564953128398 0.3926167568237189 -0.2461036779401411 0.04775570879960361
53 1712601353 15 630436 9456540 -73.62851207571254 0.40079997840042436 -0.2646050319340702 0.05207482982393169

53 1712601353 16 630436 10086976 -73.81554496670853 0.398201676508238 -0.09360935393173264 0.04186188341946692
53 1712601353 16 630436 10086976 -73.85828017877552 0.4019546027742749 -0.3123429336238033 0.05155231067813136
53 1712601353 16 630436 10086976 -75.05208669365274 0.4004791611741275 -0.23244396978355297 0.04802490939295666
53 1712601353 16 630436 10086976 -73.90258222918078 0.39290422176411355 -0.04916993174575879 0.04139415731479157
53 1712601353 16 630436 10086976 -74.48574176135108 0.3952754104713472 -0.29368420854801514 0.050261100752491114

53 1712601353 17 630436 10717412 -73.84565647452243 0.3929772791522802 -0.27093688214321954 0.04937647107403889
53 1712601353 17 630436 10717412 -74.58371228366222 0.4040557967861102 -0.19859523426177528 0.045277316316255894
53 1712601353 17 630436 10717412 -74.20152013363254 0.3920243566979331 -0.11952795820463828 0.04268536724043187
53 1712601353 17 630436 10717412 -74.15853546000247 0.3952690576549849 -0.23791261960857088 0.04698701801976362
53 1712601353 17 630436 10717412 -74.37865679883458 0.3942692831799658 -0.24246073981255314 0.04789547075957452

