seed seed_eval num_of_speakers n_pairs thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

90 100 50 2500 -55.789677076932676 0.33122448979591834 -2.956983302568744 0.13795918367346938
90 100 50 2500 -64.48785152199177 0.2818367346938776 -3.241254859650882 0.11653061224489795
90 100 50 2500 -63.01199603574822 0.35428571428571426 -3.544951216594628 0.14551020408163268
90 100 50 2500 -65.2594816692316 0.31061224489795924 -3.7791857027965947 0.15530612244897962
90 100 50 2500 -61.72208608365376 0.2783673469387755 -3.710200653638102 0.15979591836734697
 
90 100 100 10000 -61.311059642054765 0.2408080808080808 -3.2219408338698905 0.12202020202020201
90 100 100 10000 -56.11012976322642 0.24545454545454545 -3.5660052668814988 0.15080808080808084
90 100 100 10000 -58.23814567299387 0.24904040404040403 -3.916926843512959 0.1585858585858586
90 100 100 10000 -61.45491723334491 0.2703030303030303 -4.304320554012933 0.16969696969696973
90 100 100 10000 -61.77233784932149 0.2704545454545455 -3.6660692905428056 0.14166666666666666
 
90 100 150 22500 -62.0328317661987 0.2860626398210291 -3.8825205574878994 0.15966442953020135
90 100 150 22500 -64.58020379708553 0.2810514541387025 -3.7886880736371245 0.14619686800894852
90 100 150 22500 -55.387120853108804 0.23263982102908276 -3.8725251713894604 0.17335570469798658
90 100 150 22500 -62.60895608985927 0.27252796420581654 -4.128389546673236 0.16747203579418343
90 100 150 22500 -59.30107832551053 0.24449664429530205 -3.4208090558763993 0.13868008948545862
 
90 100 200 40000 -61.62667350100231 0.2945603015075377 -3.470435957030462 0.15021356783919598
90 100 200 40000 -63.143511610331686 0.3011809045226131 -3.6338942593508454 0.15571608040201007
90 100 200 40000 -56.89448832595315 0.2550376884422111 -4.004556119600508 0.18467336683417088
90 100 200 40000 -58.91707654221471 0.2630402010050251 -3.5930566047805934 0.15415829145728643
90 100 200 40000 -60.095371858163944 0.2648492462311558 -3.7837753586657734 0.15407035175879397
 
90 100 250 62500 -62.191939739306164 0.27606425702811244 -3.836837418642028 0.15959036144578315
90 100 250 62500 -63.26015482046723 0.3115341365461848 -3.9830624080299284 0.16888353413654622
90 100 250 62500 -59.24197506793545 0.2531646586345382 -3.540057829295572 0.15046586345381527
90 100 250 62500 -61.6230364101378 0.30575100401606425 -3.4545210485983606 0.1478714859437751
90 100 250 62500 -60.31431064040764 0.2910040160642571 -3.6358871858173685 0.16861847389558235
 
90 100 300 90000 -62.2887245666897 0.29636566332218506 -3.3625731091253686 0.14027870680044593
90 100 300 90000 -61.96100657827283 0.29895763656633223 -3.439350217402235 0.15003901895206245
90 100 300 90000 -61.26517413573941 0.2786231884057971 -3.932248996862866 0.1628818283166109
90 100 300 90000 -60.744775548214264 0.26580824972129324 -3.8448210554606645 0.15721850613154958
90 100 300 90000 -59.434479765873036 0.26521181716833886 -3.8368226893417106 0.1603232998885173
 
90 100 350 122500 -61.42280839107873 0.2686655751125665 -3.6885603918575187 0.1515104379860827
90 100 350 122500 -58.77868709483485 0.27368399508800656 -3.5239271247106156 0.14838722881702826
90 100 350 122500 -61.547829029231764 0.2591772410970119 -3.845426403424958 0.1597257470323373
90 100 350 122500 -63.39007778954635 0.28076545231273026 -3.628771465143838 0.14029471960704054
90 100 350 122500 -60.7386577522907 0.27097011870650844 -3.5216903518749967 0.14819893573475235
 
90 100 400 160000 -58.882140090254374 0.25526942355889726 -3.945027849267832 0.16790726817042606
90 100 400 160000 -61.442229438314065 0.26921052631578946 -3.881646497356284 0.15528508771929828
