,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_enroll,,,,
1,45.282897384305834,2.27527592437014,22.93561368209255,2.6052388680653955
5,44.70583501006036,3.2941955051651166,14.435010060362169,2.5869409685459654
10,45.06478873239436,3.0306873467621127,13.580281690140842,2.177923812158901
15,45.44587525150905,2.239111946879402,11.903822937625753,2.402795371474229
20,45.5851106639839,2.4618967005194548,11.786317907444664,1.6030135122202818
25,44.68008048289738,2.384410185991015,11.308249496981887,1.397734213909264
30,44.896981891348084,3.0925214590840997,12.290140845070418,1.8500421588690417
