,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_speakers,,,,
10,35.33333333333333,7.671227843410366,19.911111111111108,7.6639823534767695
20,35.089473684210525,4.805592694451713,22.236842105263154,6.736383790605355
30,35.186206896551724,3.435532006707382,22.558620689655168,3.4590397136373787
40,35.325641025641026,3.5863040603802543,21.67435897435897,2.0906405381988926
50,35.985306122448975,2.6826937504515214,22.70775510204081,2.201345618542944
60,36.066101694915254,2.0527379317068735,22.709604519774008,1.8158906054869
70,35.89813664596273,1.8971498135723093,22.670807453416142,1.2325218292114468
