,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_speakers,,,,
50,40.076530612244895,3.5736888658452766,4.156122448979589,1.2430260970669258
100,40.278535353535354,2.310668170670329,4.649999999999997,1.1857761890756293
150,40.98512304250559,2.1756518853962747,4.720022371364649,0.8686918607758575
200,40.979208542713565,1.8187780219605427,5.22010050251256,0.6880398952261757
250,40.93895582329317,1.3499516481878737,5.3511244979919645,0.7383146416903734
300,40.65685618729097,1.3485323862049328,5.0986900780379,0.5746946169353341
350,40.76774457634056,1.2387259017652172,5.200920998771997,0.4745643390179406
400,41.04111842105263,1.2596637208123267,5.046553884711776,0.5534981432760109
450,41.00116307844593,0.8773957796646288,5.220873546151937,0.34215825903969066
500,40.49378344787968,1.0415485504754545,5.142555110220437,0.38887344466447693
550,41.059471766848816,0.6801777884687802,5.14076833912899,0.38663641549816924
600,40.81405815247634,0.9672748951142152,4.923685308848076,0.3991317139485407
650,40.802536446604236,0.9086692204981554,5.128481687803717,0.2528476400662643
700,40.62523502922399,0.9242989507899904,5.124223380339256,0.3486521493917156
750,40.88357810413885,0.699265935286282,4.960574729109479,0.2547466288216124
800,40.95735294117647,0.8020788775285329,5.178054599499369,0.26559061945992324
850,41.017976165731305,0.7413511374029665,5.35022916717352,0.6278584716543518
900,41.025289194326504,1.3238809900355402,5.135963081560822,0.2542423705063405
950,40.829172795906,0.6311732049804016,5.156167751807119,0.252445148656991
1000,40.96990562308694,0.6757817550618455,5.206108335727722,0.19934974291227026
