,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_trials,,,,
1,40.25834998300621,0.4911641662768643,4.697275594703018,0.36427951821297605
2,40.26499185251301,0.5979564650861477,2.1789016615791144,0.2792389338702382
3,40.030414108334575,0.6346837612600591,1.5618748431648413,0.17226300731289648
4,40.20663170500062,0.5998020053003479,1.3105606042798872,0.16228200456819636
5,40.12014446304408,0.4632480149191132,1.1589284069359989,0.16546897681318037
10,39.99298013791964,0.5301545644016383,0.864688187890892,0.15181200776865544
15,39.95860822499134,0.6048115739197999,0.7141327929204161,0.11504488228947166
20,40.043186445631,0.5396084757953995,0.706118715079358,0.10874022924955845
25,40.0012642104561,0.4276714671413411,0.683264458215934,0.07498754107862733
30,39.94561036271405,0.4474950862128094,0.6511954412189741,0.0670720841871814
35,39.80486133390085,0.4550250816689609,0.6911098529005335,0.09188584066998856
40,39.9105396399859,0.46171754439544027,0.6785633741078216,0.10789755788639337
45,39.958724791866466,0.33345588637776474,0.6252507097140751,0.08411011434022418
50,39.88311106657722,0.38740884222101807,0.6456482774771536,0.09996680864049648
