,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_speakers,,,,
10,43.355555555555554,7.599612833976313,9.511111111111106,4.499999999999999
20,45.57368421052632,4.81296652953295,10.57368421052631,3.3520108076039405
30,43.825287356321844,4.222087494634453,10.972413793103444,3.1345521645375136
40,44.055128205128206,3.474413181208945,10.648717948717943,2.9867266539863113
50,44.02122448979591,2.25308864471139,11.022857142857138,2.488905829523937
60,44.56045197740113,2.6065647214648684,10.42881355932203,2.489801193528423
70,44.70724637681159,2.297949183781673,10.460041407867493,2.0118382022996664
