,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_trials,,,,
1,35.08474576271186,3.1392962948263183,23.591466978375216,2.029701087026319
5,32.607247223845704,2.696395327168244,15.94973699590882,1.6723387986361782
10,32.073641145528924,3.56986006696649,14.254821741671533,1.9056643572271819
15,32.62419637638808,3.3266394982182743,12.92518994739918,1.9956292720128506
20,32.26358854471069,2.9926721305010484,12.855639976621854,2.126425347296993
25,32.19871420222092,3.491655714292268,12.219170075978957,1.2168821115379609
30,31.633313851548795,3.1590286847405937,11.96766803039158,1.4307024514771822
