seed file num_of_trials n_pairs pairs.shape[0] thresholds_ig eer_ignorant thresholds_lz eer_lazy-informed

99 1712601399 1 630436 12608720 -74.80452271692704 0.39907360055396557 -0.10532173752186509 0.0405905260449589
99 1712601399 1 630436 12608720 -74.48767161768146 0.40130582140327364 -0.2576274457796103 0.048887304214140725
99 1712601399 1 630436 12608720 -74.2482979848519 0.4017306659975034 -0.06316704808295412 0.040129946858691146
99 1712601399 1 630436 12608720 -75.11321684162303 0.4024548870628071 -0.27549364234680523 0.04901039003116056
99 1712601399 1 630436 12608720 -74.38009740297068 0.40277808659523984 -0.18653219304270294 0.045035115192442715

99 1712601399 2 630436 25217440 -74.565605173291 0.39951988590341814 0.07724974279665275 0.018929010453559342
99 1712601399 2 630436 25217440 -75.7561366550432 0.4073751433354192 0.010163997803201142 0.0203671292575781
99 1712601399 2 630436 25217440 -74.90253750169042 0.39832317412116724 -0.04010465328616135 0.02143678471258271
99 1712601399 2 630436 25217440 -75.6215323802538 0.40456243389100477 -0.010284767540397866 0.022045860981319568
99 1712601399 2 630436 25217440 -76.13743788678076 0.406496072371284 -0.03737652401299272 0.021757601938879555

99 1712601399 3 630436 37826160 -74.53695622232334 0.397679951464483 0.10651090405143199 0.014037341854577674
99 1712601399 3 630436 37826160 -75.71640834149837 0.40348166100736604 0.1778042593885895 0.012481695947856059
99 1712601399 3 630436 37826160 -74.99353996072841 0.3939857887497975 0.16104436193145563 0.013585497790808105
99 1712601399 3 630436 37826160 -74.99472831513928 0.39855108140816525 -0.11548982322777496 0.01820320118416497
99 1712601399 3 630436 37826160 -75.40714887440116 0.40389697637705235 0.009578383122046338 0.01643473592930584

99 1712601399 4 630436 50434880 -75.22916327236858 0.40067689258340455 0.14880165959909702 0.011199221144713991
99 1712601399 4 630436 50434880 -75.49224609621413 0.40160599197639296 0.1359472904950941 0.012356227824700361
99 1712601399 4 630436 50434880 -75.24738542294297 0.40079124327792615 0.17093802937134087 0.011281807757424071
99 1712601399 4 630436 50434880 -75.30207737940904 0.40054507164388653 0.17188891817174295 0.011255602389929526
99 1712601399 4 630436 50434880 -75.40846200669974 0.40544785767150227 -0.03943795972624429 0.014152486651144613

99 1712601399 5 630436 63043600 -75.08326705338041 0.3943431346701777 0.09108952674584771 0.011386629227402249
99 1712601399 5 630436 63043600 -75.0047460100687 0.40228097871488877 0.12613901845553585 0.011068988409286558
99 1712601399 5 630436 63043600 -75.0453553434001 0.39449719046696374 0.05616985101135697 0.012172790252238549
99 1712601399 5 630436 63043600 -75.23113988973564 0.4014940235880072 -0.07565420017910014 0.014892589757354194
99 1712601399 5 630436 63043600 -75.66351114172897 0.4057853510407502 0.03118864998708318 0.013062978645007793

99 1712601399 6 630436 75652320 -75.60720365862196 0.40300678798428313 0.07586405432210673 0.010266945343544418
99 1712601399 6 630436 75652320 -74.67264543912219 0.39911965847259234 0.04363332299954455 0.011068194307241269
99 1712601399 6 630436 75652320 -75.68107100134328 0.4052795080379009 0.19227153476221967 0.00889156060110351
99 1712601399 6 630436 75652320 -75.80424854893339 0.40274473430933766 0.1731438847531507 0.00898526464244764
99 1712601399 6 630436 75652320 -75.51649589540075 0.39896322036967036 0.25616086500908275 0.008465127802783197

99 1712601399 7 630436 88261040 -75.46571629603345 0.3994349169845722 0.09178470057002852 0.009969951178606246
99 1712601399 7 630436 88261040 -75.67686903407815 0.39942697596411925 0.2340718047689555 0.00836745325121262
99 1712601399 7 630436 88261040 -75.9286412215722 0.406885976475521 -0.023366117960503224 0.011618507024626704
